,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,Albania,ALB,11.4,9.04,6.99,6.930000000000001,7.77,7.529999999999999,7.25,6.539999999999999,6.769999999999999,7.99,8.38,9.06,9.67,10.11,10.16,9.94,8.75,9.03,8.539999999999997,8.600000000000001,8.880000000000003,9.329999999999998,8.939999999999998,9.049999999999995,9.539999999999988,9.479999999999992,9.329999999999991,9.899999999999991,10.128423746824266,10.357346295118333,10.545036574602129,10.689220318794252,10.794928085803987,10.869599400758744,10.920925809144975,10.955534287691117,10.97856257557869,10.993749264478685,11.003705517053605,11.010207931995394,11.01444390177727
1,Algeria,DZA,96.0,94.87,94.5,102.03,99.78,103.98999999999998,105.3,109.39,114.73,120.70999999999998,127.65999999999998,125.25,132.49,138.28,142.17000000000002,147.68,145.89,153.14,156.4,166.21,167.32,179.67999999999995,189.89,193.59,203.79,211.66,209.41,211.50000000000003,179.3252688908577,168.4831817126274,162.41414558887482,158.52290823936463,155.85232033252714,153.93951609134672,152.5302831673622,151.47162138342856,150.6651258468628,150.0443192219734,149.5628115785122,149.1871460211277,148.89275537014007
2,Angola,AGO,150.61,151.28,151.61,152.39,152.54,156.9,161.39,156.01,170.08,161.98,161.87,143.61,164.51,181.0,193.17,191.84,165.81,196.13,173.99,180.66,186.83000000000004,220.91999999999996,185.95,203.34,185.1,207.66,182.19,176.84999999999997,184.0837776249647,184.127093154788,184.12771984755994,184.12772445559503,184.12772445559503,184.12772445559503,184.12772445559503,184.12772445559503,184.12772445559503,184.12772445559503,184.12772445559503,184.12772445559503,184.12772445559503
3,Antigua and Barbuda,ATG,0.3399999999999999,0.3499999999999999,0.4300000000000001,0.4099999999999999,0.4200000000000002,0.44,0.4700000000000001,0.5000000000000002,0.5500000000000003,0.5700000000000001,0.5900000000000001,0.6499999999999997,0.7099999999999999,0.7400000000000003,0.7500000000000001,0.7800000000000004,0.9499999999999994,1.01,1.0600000000000007,2.0200000000000005,1.129999999999999,1.0700000000000016,1.289999999999998,1.059999999999995,1.0799999999999996,1.1000000000000003,1.139999999999996,1.1700000000000026,1.9409266614913947,4.2536444473266615,5.633691253662111,5.792424125671388,5.804358711242678,5.805221481323244,5.805283164978029,5.805287170410158,5.805287170410158,5.805287170410158,5.805287170410158,5.805287170410158,5.805287170410158
4,Argentina,ARG,323.84,328.83,333.22,335.73,340.81,341.39,344.46,346.24,351.87,357.06,354.96,375.63,378.78,401.76,427.68000000000006,420.84,454.28,458.1,468.33,452.69000000000005,440.34,450.1,464.88000000000005,462.89,456.74,460.2100000000001,469.73,469.62,460.1264624273777,457.2134478569031,456.05197771072386,455.56771297335627,455.36426787018775,455.27826718330385,455.2418929797411,455.2264493781328,455.21990149974823,455.2171362602711,455.2159623378515,455.21547537744044,455.21524059295655
5,Armenia,ARM,24.44,25.07,14.95,8.76,6.24,6.84,5.780000000000001,6.390000000000001,6.309999999999998,5.799999999999999,6.150000000000001,6.260000000000001,5.920000000000001,6.350000000000001,6.74,7.460000000000002,7.899999999999998,8.569999999999999,9.11,8.02,7.880000000000001,8.229999999999995,9.220000000000002,9.149999999999997,9.11999999999999,9.110000000000005,9.360000000000005,9.130000000000006,8.672844169139863,8.424023676961662,8.28126433774829,8.200547644197941,8.155419174209237,8.13033427618444,8.116441849246621,8.108762223944069,8.104521858915687,8.102169278413058,8.100882969200612,8.100170540735126,8.099784216806293
6,Australia,AUS,511.19,511.12,513.28,512.97,516.04,524.13,517.13,528.17,554.21,589.37,608.2,700.97,688.45,615.56,659.13,616.08,630.93,622.43,591.83,612.67,573.4,612.47,613.1200000000001,522.09,530.85,529.3800000000001,507.17,553.12,559.9506181967258,569.7952992630004,579.4165419828892,589.2006245088577,599.6348880183697,611.2055763077735,624.4384793233871,639.8671495389938,657.8832249474525,678.3951031041145,700.3636102986336,721.6699346256256,739.8932533454895
7,Austria,AUT,64.25999999999999,68.47,62.68,62.6,62.69,65.17,68.88,67.87,67.85,66.03,66.24,75.31,77.04,82.93,82.54,82.56,83.17,80.08,79.66,72.69,78.41,75.74999999999999,72.53,73.08,69.31,70.44000000000001,70.61999999999999,72.78999999999999,78.16749484419823,79.15082308292389,79.2635575413704,79.27563185453415,79.27690451264382,79.27703815400601,79.27705164074898,79.27705164074898,79.27705164074898,79.27705164074898,79.27705164074898,79.27705164074898,79.27705164074898
8,Azerbaijan,AZE,75.54,84.57,60.87,69.01,62.48,60.43,55.79,55.88,56.72,57.03,59.14,59.7,60.61,58.31,59.59,63.58,60.09,58.75,66.33,67.26,71.54,73.84,75.01,74.56000000000002,74.74000000000001,73.04000000000002,73.05000000000001,71.65000000000002,62.43569024384021,58.969420002102844,57.78275797322392,57.41143994137645,57.29918832197785,57.26559200286865,57.25557972982526,57.25259403839708,57.25170169748366,57.251435056626796,57.251357862651346,57.25133148804307,57.2513354549557
9,Bahamas,BHS,0.6399999999999999,0.7399999999999999,1.3999999999999997,0.9700000000000002,0.9099999999999996,0.9599999999999996,0.8499999999999999,0.6499999999999997,1.1700000000000002,1.13,1.06,1.4599999999999995,1.65,1.5700000000000005,1.69,1.47,7.300000000000002,7.330000000000002,7.479999999999999,11.34,7.36,3.3299999999999925,4.37999999999999,4.060000000000001,3.4,3.1699999999999986,3.059999999999996,3.0299999999999963,3.4942764246463773,4.083752607703208,4.9869285726547234,6.529121395349502,9.419371219873428,14.400501170158385,19.269458272457122,21.32672091960907,21.843387081623074,21.95320592164993,21.97566944599151,21.98022949934005,21.981151714324948
10,Bahrain,BHR,14.060000000000002,13.76,15.78,16.67,17.120000000000005,17.96,19.34,20.33,22.17,22.86,24.02,24.85,26.01,27.07,27.37,30.450000000000003,32.88,34.02,36.43,37.01,38.91,39.65999999999999,40.88,43.74999999999999,45.89,46.93999999999999,47.15,47.940000000000005,40.983743444681174,38.21636849164964,36.50270066022874,35.281663028001795,34.34102532148362,33.57495049357415,32.9248971092701,32.35541841626168,31.843580677509312,31.37369474768639,30.934553512334826,30.51781530082226,30.11707386493683
11,Bangladesh,BGD,116.27,116.46,118.36,119.56,122.01,127.04,126.94,129.18,129.22,133.35,135.51,139.33,142.55,144.36,147.17000000000002,150.54,146.35,148.65,157.69,160.23,169.59000000000003,182.65,184.96,188.82,193.91,202.95,203.15000000000003,211.05,189.75695313096048,181.783937561512,177.1198295760155,174.0424936056137,171.88033751010894,170.2953958773613,169.09885685920716,168.1760503911972,167.45285163760187,166.8791454076767,166.41964034795762,166.04881279349328,165.74777139067652
12,Barbados,BRB,3.1000000000000005,3.14,3.369999999999999,3.2200000000000006,3.3000000000000007,3.35,3.3600000000000003,3.4700000000000006,3.589999999999999,3.64,3.58,3.66,3.710000000000001,3.72,3.72,3.759999999999999,3.890000000000001,3.9100000000000006,4.23,7.070000000000001,4.06,4.089999999999996,4.659999999999995,3.9400000000000017,3.770000000000001,3.780000000000003,3.82,3.719999999999997,4.020805176943542,4.787477804124356,9.749554353952412,19.34791868686677,19.978014435768134,19.990012545585643,19.99023024559022,19.990232138633736,19.990232138633736,19.990232138633736,19.990232138633736,19.990232138633736,19.990232138633736
13,Belarus,BLR,126.0,120.94,107.71,94.93,81.89,73.8,73.38,73.68,71.73,69.4,66.7,58.04,64.64,60.260000000000005,61.41,62.53000000000001,58.42,55.56999999999999,59.64,57.150000000000006,61.39000000000001,84.50000000000001,88.34,87.01000000000002,88.06,84.13,80.62000000000002,82.27,79.2420276042819,77.08047112137079,75.21334032058715,73.58235499083995,72.16738383829593,70.95019514381885,69.91384176254272,69.04098718926309,68.31365158215165,67.7135801333189,67.22288115799427,66.82476913258432,66.50390787750482
14,Belgium,BEL,126.89,131.83,129.92,127.74,133.1,133.27,138.63,135.44,138.21,134.36,135.04,135.37,128.09,131.47,130.04,126.18,123.82,119.15000000000002,121.48999999999997,114.43,121.75,109.56000000000002,108.87000000000003,110.14,103.74,108.80000000000004,107.62999999999998,105.53,129.03272203087806,130.36776673078535,130.4529307579994,130.4584209179878,130.45877029180525,130.45878900825977,130.4587869286537,130.4587869286537,130.4587869286537,130.4587869286537,130.4587869286537,130.4587869286537,130.4587869286537
15,Belize,BLZ,13.23,13.44,13.660000000000002,13.73,13.840000000000002,12.750000000000002,9.8,8.6,7.88,6.669999999999999,5.63,7.210000000000002,9.66,10.250000000000002,6.93,9.320000000000002,7.58,9.85,8.420000000000002,8.01,9.320000000000002,7.219999999999996,3.519999999999998,7.630000000000004,3.5799999999999983,5.279999999999996,4.939999999999996,4.960000000000004,7.264672389030455,8.936410899162292,10.694094581604004,12.842056484222413,15.597045803070069,18.783499927520754,21.567803401947025,23.2783805847168,24.07905636787415,24.40254671096802,24.52513273239136,24.570440006256106,24.58702856063843
