Report generated on: 11-03-2021 14:17:58,,,,,energy consumption per capita (MMBtu/person),,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,WORL,66.82609946,65.64489396,64.42675437,63.76325701,63.52390839,64.35197207,65.14418739,64.44584718,63.97972606,64.3472799,65.58230924,65.21529047,65.78182464,67.24581172,69.86119524,71.2522155,72.58701354,73.66017202,73.77887082,72.20115033,75.96360079,76.97258052,77.61596121,77.98722153,77.71627646,76.85637556,76.03018207,77.20580122,78.54297439,
        Afghanistan,AFG,8.726854929,3.567049986,2.159522678,1.964311752,1.76163254,1.399640724,1.318606693,1.222982175,1.167280814,1.141622409,0.971032813,0.736543271,0.668538662,0.750363352,0.663803458,0.818418772,0.999817588,1.263988094,2.111169811,3.357966758,4.061555521,5.347433782,4.736874741,3.858252761,3.425562202,3.669774051,3.32294193,3.442277742,3.431824791,
        Albania,ALB,34.94914184,29.3633976,25.93779776,23.10761606,22.30344023,24.91219934,27.54142926,25.1461162,26.9529415,24.16377954,31.32934599,29.69081468,32.19567774,36.4084849,38.69708632,38.70388542,36.7250145,31.91345181,35.21682764,38.70478493,42.92865789,36.33356363,35.68232324,43.75971322,40.00197936,40.23404178,44.90183992,42.88514047,48.24413952,
        Algeria,DZA,47.2719997,51.28774778,48.1649809,43.32073564,43.70745074,44.83447467,43.17811189,40.47113202,41.42707362,40.69098875,41.04544489,40.55701132,41.04380659,41.00896286,39.62443331,44.96168017,46.36273996,45.3579839,48.29804594,50.49330479,49.41325393,52.86187308,56.12587571,53.42370884,59.08736571,59.19709605,57.60964834,57.04872044,59.59042129,
        American Samoa,ASM,173.4120065,168.6461594,169.2624398,161.0387254,153.6343847,146.5542554,144.0963402,144.9373114,142.4860385,140.283482,135.5407745,133.9813164,134.8563238,133.8953954,133.4982928,142.0953183,145.6165175,147.4677546,150.1171676,151.8436833,153.4791187,88.08459434,88.47190675,88.15732227,88.03407173,88.00091537,88.35445013,88.30472664,88.48279628,
        Angola,AGO,6.718935398,6.812131049,6.689228629,6.357411916,6.005854315,6.238312774,5.806087232,6.315155017,5.503247441,5.946264412,6.752911822,7.09457362,7.312659828,7.845411732,8.381498845,6.887931408,8.375992178,9.279723789,10.48021099,11.49156114,12.1517048,12.28436474,12.37618379,13.36731054,14.2070584,14.33703516,13.57059391,12.63079827,12.61689055,
        Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
        Antigua and Barbuda,ATG,95.4460828,93.28069747,91.76333983,89.82143239,94.40721953,98.85294437,97.04518152,97.69271284,95.73145205,93.8476469,95.90303696,94.54593024,99.94587397,103.6046289,105.9979484,106.1777286,107.6955509,111.1010459,111.9041188,115.4684139,109.9804312,108.3077433,109.936928,108.6138911,109.7214814,110.9781155,111.6047367,105.1594256,107.6605694,
        Argentina,ARG,57.65640313,59.47710205,60.90594591,64.94014374,64.80172548,66.03614469,67.66628139,68.76621184,71.03404036,69.95252,74.86106566,72.67380878,67.65413379,72.57971984,77.18214404,80.26877898,84.54451035,85.13571691,87.64610106,84.87760298,86.89885431,87.82366214,88.75141184,89.07745894,88.4305476,88.81693863,87.9768686,83.2752293,80.56202018,
        Armenia,ARM,--,--,57.24214004,44.59780018,40.83368782,40.8787341,53.14039133,45.2860181,48.5042087,30.168808,32.65152041,32.30971515,31.11986032,34.40251291,35.88643368,41.84289894,42.10325754,47.6595456,46.39073002,41.72986207,46.64952181,49.12657667,51.91738085,50.69903785,51.41417723,47.4258432,47.58873343,50.56757357,49.63777836,
        Aruba,ABW,125.8314326,132.0165615,137.3243494,131.3355542,136.1917331,147.1968514,93.6484087,147.482152,144.3898933,141.5853116,165.8782267,167.8929486,169.715555,185.051726,189.6013365,202.1230854,200.1333941,205.426089,192.7167051,191.9618908,179.8237126,142.5204528,177.7569074,171.0545632,172.7100535,176.6210154,170.7080035,175.9138985,169.1936243,
        Australia,AUS,229.7155435,225.1382755,226.768715,226.964638,229.5874678,235.9161392,242.6776229,245.1552122,253.9623983,257.9035821,254.1266001,254.0934644,259.4906651,256.6254342,261.2036374,264.8396841,265.4289329,271.0386714,263.6016457,264.5702268,254.8414549,255.0782384,253.7041743,249.3606294,243.4459685,242.3797043,243.7929286,245.7318367,239.0877637,245.5006373
        Austria,AUT,150.9058582,157.2248035,152.2282627,154.2438977,153.1662029,160.14153,167.0244426,166.910461,169.7362986,171.4132249,169.5824125,176.9120268,175.9771166,178.0098129,183.219108,188.8084714,186.8609083,182.9503871,182.6464157,174.3330021,178.3947628,169.5392052,173.7749552,173.646886,166.433681,164.8441717,166.9297404,169.3354478,164.9357776,170.0757186
        Azerbaijan,AZE,--,--,132.65353,111.2924599,98.82335569,93.63909769,81.88432172,80.54394716,68.39851667,69.98863338,62.46888898,54.36452193,64.25672548,67.87080516,74.09466264,75.90936266,76.10941938,62.0069107,65.67239883,60.91991712,64.95075133,60.73010187,65.1140014,60.44778814,61.54990419,64.25576888,62.54576093,61.61714252,61.18921821,
        Bahrain,BHR,547.3073971,596.2364824,487.1994921,567.0924538,544.9232405,532.7237254,515.0273669,558.7863597,527.839728,491.6743831,605.4439965,589.2220028,593.2834993,576.1062051,553.8712339,575.857991,568.619517,539.5062361,532.103588,493.3297439,478.3799478,486.6064221,516.7010011,554.3410978,523.8711333,506.9909527,486.545104,475.0945486,480.4392617,
        Bangladesh,BGD,2.317566798,2.410375137,2.647463237,2.80305307,3.037431038,3.25234956,3.30651486,3.323036999,3.483920979,3.838730893,3.99903397,4.297432664,4.439495822,4.802497506,4.891278482,5.123497627,5.450782459,5.654607264,6.043859348,6.291395158,6.561404985,6.823043818,7.269839161,7.354913949,7.677652168,8.489657307,8.973519627,9.143376923,9.614602053,
        Barbados,BRB,71.94275071,72.47298767,76.2721451,74.05508925,69.96148298,72.31890863,64.666605,77.5233688,78.40445591,81.74229182,87.53601782,87.27223325,87.56106316,88.20187865,88.55192956,88.90208384,88.7330421,84.28677981,98.94247739,92.86366028,89.17371653,93.30590717,87.47535098,88.64792872,76.95016998,81.71096181,83.43941659,78.70469176,83.70210589,
