Report generated on: 11-03-2021 14:22:01,,,,,energy consumption per GDP (1000 Btu/2015$ GDP PPP),,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,WORL,7.198274612,7.070502364,6.930205951,6.837217056,6.713905039,6.682471323,6.603946299,6.368210986,6.256412822,6.164066857,6.072052946,5.976858332,5.940459899,5.931904363,5.937390429,5.858690941,5.744218169,5.609014279,5.527451247,5.513072313,5.584180786,5.515085657,5.452446457,5.368263511,5.236136523,5.071284087,4.914669868,4.866408748,4.832093723,
        Afghanistan,AFG,3.231774082,1.557920037,1.042253037,1.280049987,1.609700052,1.039169978,0.984068189,0.988186383,1.008927042,1.059024893,0.980474242,0.819485505,0.523691978,0.531815324,0.477583026,0.568246263,0.658849003,0.696297615,1.202966444,1.767698894,2.088004634,2.657152368,2.21995098,1.755717849,1.563947228,1.752666486,1.605231384,1.661676065,1.670275089,
        Albania,ALB,7.370904538,8.586606183,8.087301841,6.471112722,5.67936591,5.539183981,5.58729815,5.723377171,5.647519863,4.478035072,5.456644882,4.791567243,4.979270685,5.311237208,5.319534429,5.001445973,4.466561335,3.630214969,3.686789462,3.881746242,4.116545923,3.37525097,3.252226962,3.934902445,3.525188276,3.46174438,3.734118282,3.433079984,3.708271809,
        Algeria,DZA,5.261433986,5.92163015,5.592648431,5.253483949,5.460441182,5.500248941,5.178414979,4.879121237,4.823883979,4.656737639,4.58721737,4.458631635,4.327700441,4.085410215,3.834944977,4.166560558,4.287191755,4.119791892,4.354684499,4.558748226,4.384638384,4.645119421,4.863765516,4.594599903,4.996239397,4.926663493,4.742174994,4.731505216,4.970712387,
        American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,15.50060625,15.11823835,15.56115549,16.82600666,17.35273286,16.5518375,15.3295492,12.69462463,14.94263108,8.556635707,7.647462163,7.662260368,7.650325383,7.430419196,7.553627921,8.158652651,7.716506754,
        Angola,AGO,1.272402633,1.320565379,1.423069815,1.837889797,1.769496316,1.650493079,1.397086587,1.462857248,1.257620311,1.373770657,1.564321623,1.630070283,1.528210637,1.646659772,1.641216525,1.214764264,1.373084315,1.384323579,1.459530802,1.646636425,1.730141778,1.752902474,1.686622656,1.798461351,1.888410072,1.953918903,1.963676683,1.892208217,1.994526217,
        Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
        Antigua and Barbuda,ATG,5.122893814,4.996221446,4.952227157,4.691280157,4.707914818,5.248149886,4.936219641,4.809906967,4.592618335,4.428451619,4.344973969,4.55200153,4.830428941,4.786303234,4.693571658,4.475597455,4.09268507,3.923596885,4.014283468,4.77735667,5.01220613,5.097956608,5.06804723,5.099172909,5.023000678,4.951994871,4.764393088,4.392494108,4.225829692,
        Argentina,ARG,4.646648875,4.395312112,4.161923036,4.290980692,4.097277268,4.350883452,4.275472866,4.065645539,4.08984912,4.215248757,4.597307493,4.720157014,4.984898549,4.966258957,5.098551128,4.922116113,4.847270424,4.522797471,4.51925564,4.698488907,4.412642688,4.250881984,4.386190553,4.344308763,4.470010183,4.414638111,4.51028808,4.193035463,4.205702112,
        Armenia,ARM,--,--,24.1083739,20.12096511,17.07775542,15.67138939,18.94325899,15.45122295,15.29754631,9.156584193,9.299489413,8.347682013,6.950196825,6.70174151,6.292261804,6.401490285,5.646482647,5.57026495,5.026519589,5.231384826,5.700041005,5.734424216,5.670119525,5.384982867,5.298120122,4.756990771,4.781051338,4.739788554,4.431894613,
        Aruba,ABW,4.416838563,4.46282054,4.629741564,4.383576042,4.444977827,4.907804081,3.194857831,4.792296447,4.492784326,4.441519349,5.082715429,5.27839379,5.577025793,6.181793163,5.995738858,6.399529005,6.370902094,6.385661995,6.142100026,6.695402671,6.49697669,5.151128815,6.546791968,6.081469744,6.159901883,5.990754719,5.701902764,5.789523348,5.542720428,
        Australia,AUS,7.628719047,7.647868738,7.592696468,7.379981061,7.185899665,7.261767858,7.257585154,7.086886506,7.082624182,6.961642637,6.736689697,6.647419246,6.594058978,6.417195948,6.341866587,6.318187791,6.253569905,6.228912232,6.021108187,6.05070092,5.781523108,5.708710792,5.566402649,5.448042132,5.263018571,5.195928986,5.16823567,5.171460938,4.96832785,5.082148618
        Austria,AUT,4.317040037,4.398455003,4.222863874,4.277057157,4.159872641,4.215249205,4.303347786,4.211664987,4.144682857,4.057213756,3.880668514,4.016132355,3.945936202,3.972084933,4.014977459,4.066784601,3.904020355,3.697753748,3.648743919,3.627890144,3.658626916,3.383795455,3.459062988,3.478738615,3.334324356,3.310473863,3.320726254,3.312747204,3.164345737,3.23032906
        Azerbaijan,AZE,--,--,23.1046181,25.57758098,28.64797941,31.14421857,27.16220552,25.47823198,19.82878974,19.0436432,15.42966874,12.33043783,13.45959936,13.03634775,13.16052899,10.69090069,8.052773025,5.2886279,5.125161358,4.406273726,4.527365401,4.343730331,4.614481431,4.102057078,4.112999039,4.28951589,4.356443509,4.332527393,4.281910309,
        Bahrain,BHR,14.12436842,14.23124723,11.17854733,11.81600415,11.67239767,11.27219671,10.85512049,12.39446921,12.41053117,12.21399862,12.27235878,12.39292976,12.79470571,12.57599778,12.1771697,12.79472656,12.82243306,12.15678979,11.98267644,11.56983774,11.210235,10.87615319,11.26359046,11.88255764,11.28825044,11.11174835,10.70611739,10.561409,10.47058162,
        Bangladesh,BGD,1.474637222,1.519066144,1.62429289,1.680656078,1.787466529,1.863492129,1.84978423,1.817120221,1.849341151,1.986543594,2.00421124,2.088722694,2.11628055,2.22390338,2.187274916,2.182747671,2.206445049,2.164427001,2.20733425,2.211954797,2.209841116,2.183266959,2.209169475,2.13274313,2.123231109,2.22820546,2.223007579,2.134116606,2.102232919,
        Barbados,BRB,5.129250943,5.397652055,6.129986006,5.901848204,5.393130685,5.486215798,4.737924157,5.445904819,5.332006638,5.564000859,5.726627183,5.868978588,5.86209555,5.798710097,5.760885378,5.584040763,5.296487936,4.944444757,5.789709825,5.748309383,5.669687163,5.990751886,5.655943233,5.826031955,5.073104221,5.267587799,5.257235093,4.942791963,5.294501007,
        Belarus,BLR,--,--,166.9136046,153.4088035,16.30634456,17.17571966,16.71305024,14.87700805,13.4448969,13.44003615,13.8123518,12.20555858,11.28403085,11.03731991,9.269915656,9.527562411,9.24255927,8.254818398,7.580253578,7.042345664,6.956775724,6.805035854,6.747558721,6.383748886,6.295344937,5.569280008,5.658908744,5.502748021,5.653383153,
        Belgium,BEL,6.746757257,6.861901968,6.780421705,6.728092653,6.930324762,6.826281905,7.126934962,6.899612638,6.931472341,6.649862517,6.558236032,6.47465307,6.33159375,6.468004905,6.328639476,6.125573845,5.956883289,5.771523804,5.923594171,5.51605109,5.770252695,5.300455454,5.113783124,5.244169095,4.821834045,4.783961967,5.011116837,4.960809766,4.910081688,4.921035738
        Belize,BLZ,5.458698425,5.545969677,4.149066692,3.894334702,3.707402736,4.555154818,4.01175914,5.982473782,5.672120599,5.435114957,5.175657166,5.38682372,4.977441325,4.466268323,4.106437042,4.313276945,4.733713016,4.443762724,4.152628397,4.371047267,4.97751796,4.26012534,4.321467056,4.648666526,4.443906389,4.786917624,4.794120993,5.232618412,4.541978399,
        Benin,BEN,0.822105985,0.921905355,0.994890177,1.033663126,1.060068968,1.07889894,1.128941982,1.155014835,1.197682038,0.558154046,1.404828673,1.517937318,1.662019135,1.865436061,1.883465133,1.738348483,2.285770974,2.54584287,2.481998821,2.693069277,3.02458539,2.738479621,2.479765647,2.35710207,2.343009465,2.546024048,3.113337381,3.013660463,2.825355621,
        Bermuda,BMU,2.165031743,1.891855476,1.519460368,1.723786541,1.635366522,1.591474157,1.58084533,1.507197271,1.450485045,1.402932154,1.488855945,1.408436497,1.504412779,1.451488616,1.468330539,1.520721519,1.641895202,1.788798867,1.639728791,1.329488876,1.556326999,1.044926752,1.193383942,1.202094224,1.616655766,1.349022852,1.728358348,1.645439693,1.700465419,
        Bhutan,BTN,9.593913212,9.808830877,9.523913438,9.374891682,9.54770532,9.522396191,9.88930297,9.456620776,8.731076799,8.168495016,7.874154167,8.022705629,7.995797987,8.259523106,7.49813098,7.919285398,11.98905062,12.65682311,12.48143034,12.12560127,11.59867315,10.45159796,9.660386467,10.47868665,9.484820501,9.314468169,8.857704968,8.408217777,7.698527961,
        Bolivia,BOL,3.278847647,3.064960954,3.25584721,3.080680414,3.287561852,3.599091619,3.378145598,3.609853017,3.188082431,3.566020835,3.651282259,3.072923461,3.270508697,4.280610659,4.261589614,3.998253693,4.19947604,4.315200902,4.172638973,3.978860755,3.877234034,3.814607948,4.301237459,4.081651383,3.904051934,3.913342351,3.887471987,3.678039087,3.644573419,
        Bosnia and Herzegovina,BIH,--,--,20.99233074,15.50202804,14.6741661,20.14158324,8.125062786,8.482220092,8.590154779,7.921690448,8.316453408,7.996601936,7.671557228,6.396345862,6.29479265,5.600207106,5.295247687,4.731095778,5.144498125,6.403968172,6.913990033,6.576758179,6.399314492,6.382852613,6.111952501,5.880046002,5.795881601,5.54048313,5.455647531,
        Botswana,BWA,2.605908833,2.538279956,2.991711978,2.848324283,2.824319624,2.685779121,2.413027731,2.310820244,2.467109193,2.130164307,2.740500093,2.880601221,2.845338082,2.701790705,2.590762747,2.632722465,2.593364552,2.460039938,2.409694924,2.441030229,2.316881168,2.291854826,2.168357976,1.933004923,1.879020394,2.428858463,2.498062742,2.207715346,2.073427289,
        Brazil,BRA,4.041917153,3.952970002,4.050131071,4.006439978,3.971561874,4.048288968,4.22096473,4.276685668,4.39780195,4.472568229,4.410179868,4.235675672,4.189733229,4.208472163,4.168723155,4.148149361,4.092963385,4.103904022,4.094589459,4.046462391,4.123084105,4.112765789,4.139096517,4.132043546,4.211385417,4.303721136,4.377799532,4.356292151,4.263715578,
        British Virgin Islands,VGB,2.556909419,2.080522525,1.677364455,1.279630722,1.026100641,0.829847491,0.995695932,0.898615219,0.814260555,0.743101416,1.198646831,1.172678362,1.283417485,1.568050646,1.588834012,1.4295563,1.576037447,1.648916049,1.797063674,1.907092638,1.967117424,2.074301405,2.081630853,2.011424427,2.009458878,2.002538737,1.891337465,1.764288798,2.131865869,
        Brunei,BRN,3.841727349,2.976573447,2.778403046,2.632770873,2.453176712,2.904032883,2.628921305,2.853481907,2.595359596,2.971475822,2.945678561,3.259677853,3.6644437,3.684082175,4.070546521,4.567825218,6.743103268,7.068059921,7.402578432,4.999257184,5.550064192,5.495270999,5.293586146,5.030147084,5.802678003,6.438294201,6.894887665,6.832071984,7.102205044,
        Bulgaria,BGR,14.88645066,12.83270586,13.40231867,13.11722902,13.15586721,11.66038206,10.94939852,11.68753305,10.10220064,10.11175397,9.690190411,9.341694971,8.964002795,8.652257843,8.03617578,7.857182431,7.540664357,6.733740206,6.243531906,5.867372906,5.96475403,6.246544555,6.051970011,5.685492116,5.907969781,5.981181363,5.511882356,5.371785209,5.191572051,
        Burkina Faso,BFA,0.862558057,0.91489216,0.923179863,0.99002674,1.089777815,1.054023346,1.0098794,1.499432429,1.25522922,1.216641961,1.084805178,1.130673721,1.135177339,1.165263813,1.004603963,0.981777831,0.911083288,1.239746618,1.279677328,1.167654564,1.175272589,1.255619971,1.390739905,1.576185377,1.406901009,1.72071015,1.367355731,1.589543618,1.217298237,
        Burma,MMR,3.117368485,2.954128251,2.866663787,2.868762556,3.13078175,3.112557325,2.965355171,3.000065103,3.077224845,2.877010699,2.949052496,2.420321147,2.555218673,2.544598728,2.3140617,2.625470477,2.187266988,2.09843395,1.791066839,1.580314483,1.522889105,1.579955886,1.75866886,1.887752393,2.040632198,1.771256886,1.914855144,2.396830767,2.390865118,
        Burundi,BDI,0.936993192,0.995116584,0.90633363,1.090090744,1.180891803,1.239740617,1.406722025,1.402515582,1.352398875,1.318033729,1.095635031,0.919689528,0.848503598,0.671624781,0.746644957,0.620241571,0.681611579,1.030605382,0.646901214,0.629223449,0.686369868,0.726515997,0.652066564,0.690406948,0.574674241,0.827769119,0.970705561,1.099936861,0.92083207,
        Cabo Verde,CPV,1.284321999,1.266506761,1.455328259,1.373012848,1.527394663,1.392088984,1.471731547,1.363471458,1.26454345,1.130605059,2.650373544,2.779738963,2.86933282,2.72435764,2.856854187,4.182990122,4.035439435,4.139433713,3.933523581,3.773780615,3.981951328,4.557715753,4.045458725,3.949648578,4.233921276,4.141501283,4.13115372,4.226369285,4.091440891,
        Cambodia,KHM,0.496521823,0.48981657,0.460330631,0.442234319,0.680298437,1.757902496,1.824462951,2.066117733,2.30696776,2.107281973,1.763869357,1.739106418,1.628360772,1.631256394,1.525256275,1.527835773,1.493053445,1.589507935,1.563624828,1.930679645,2.083825214,2.014810796,2.108197262,2.080445207,2.143570264,2.294018529,2.676904745,2.644804168,3.103540826,
        Cameroon,CMR,2.171330718,2.277902585,2.361128564,2.268963099,2.371867903,2.347454622,2.239952897,2.235844874,2.139671453,2.010671768,2.016898349,1.926320554,1.820844484,1.865349722,1.821006551,1.722669733,2.010438343,1.91015335,1.873551999,1.965610387,2.171434102,2.196231116,2.09634847,1.749087721,2.06401663,1.956260859,1.825220723,1.92103063,1.855314085,
        Canada,CAN,11.83172841,12.21624726,12.49740413,12.45564511,12.28501832,12.12504319,12.28505717,11.78911264,10.99529865,11.0089574,10.50623468,10.363343,10.3362434,10.43135802,10.34539705,10.13536036,9.943939007,9.706005559,9.447860293,9.56167529,9.618143634,9.566046829,9.513373459,9.565737672,9.340514666,9.248963686,9.083208109,9.032721937,8.943323269,8.518639652
        Cayman Islands,CYM,2.721015435,2.657510405,2.615103213,2.365043342,2.590939207,2.648576097,2.529533193,2.391599208,1.835764294,1.77567018,2.564437816,2.582452577,2.63159067,2.61333597,2.448121497,2.366505576,2.29468956,2.719890293,2.739757638,2.739581205,2.829118487,2.944030732,2.686926442,2.618851242,2.594135284,2.668405421,2.555317797,2.882649645,2.574899488,
        Central African Republic,CAF,1.24738754,1.292504763,1.26000633,1.379133887,1.375532723,1.310679859,1.486357587,1.400319872,1.333668881,1.2594974,1.324374578,1.359028142,1.364197761,1.401239085,1.459688359,1.472859466,1.472042441,1.428306562,1.410671949,1.367237302,1.340170889,1.35455169,1.332419165,2.050412438,2.152678734,2.070726131,1.986499783,1.856336504,1.797700698,
        Chad,TCD,0.792781384,0.702139173,0.687614967,0.33694168,0.349201719,0.351929199,0.345584289,0.353303059,0.330337997,0.332609797,0.438052538,0.376547854,0.342615718,0.29520933,0.232750534,0.231284987,0.233266614,0.227944724,0.222587416,0.225784607,0.215536798,0.226503317,0.20873999,0.199093733,0.186255547,0.187345379,0.204339579,0.579043566,0.581815229,
        Chile,CHL,4.825843489,4.473513215,4.431051226,4.414380941,4.48413611,4.431964026,4.462178076,4.597401761,4.357333523,4.586643721,4.416758015,4.433577264,4.512137072,4.476929006,4.476675953,4.448161822,4.258616456,4.035138789,3.960133498,3.936157378,3.734569052,3.738073027,3.504801984,3.502563133,3.379583369,3.424093561,3.575152953,3.598553039,3.540543936,3.627637189
        China,CHN,17.06699713,15.80680905,14.48349593,13.6920877,13.02152199,12.64049004,12.06254002,10.49925646,10.00066458,9.648519894,9.462510078,9.166345262,8.994530776,9.466000621,10.36564949,10.43322266,10.22683657,9.644936078,9.204255277,9.100136542,9.186717701,9.193394372,9.118210363,8.745127382,8.240102332,7.602451118,6.904231165,6.815033716,6.762408294,
        Colombia,COL,3.631085905,3.571941556,3.442872403,3.566920001,3.587082278,3.452142203,3.615160856,3.54705769,3.572800835,3.588726496,3.488933098,3.430502935,3.365923113,3.257964478,3.218876588,3.05501617,3.001479605,2.818494115,2.718051133,2.652719351,2.583478413,2.7372662,2.738680618,2.698554782,2.733776264,2.608946542,2.599725743,2.578220396,2.572463118,
        Comoros,COM,0.788320053,0.804356061,0.742443913,0.719288424,0.759372313,0.732406874,0.744023084,0.713570487,0.858433045,0.842285548,1.062838499,1.084052896,1.06610332,1.334452754,1.437403392,1.342585487,1.52222662,0.99791095,0.978163796,1.15598202,1.322706191,1.141461105,1.14983092,1.312949622,1.148649175,1.225561462,1.390766432,1.562643821,1.381985014,
        Congo-Brazzaville,COG,1.892989465,1.69110351,1.576406765,1.434611573,1.439394612,1.414999712,1.414011692,1.41380624,1.271451291,1.092363353,1.120009528,1.324399799,1.171947795,1.329326195,1.361497456,1.709721269,1.803531256,2.376442028,2.544495394,2.766210984,3.428883502,4.030209779,3.759854705,4.787205944,4.298356601,4.479866744,4.766726239,4.758662729,4.83118337,
        Congo-Kinshasa,COD,1.987623172,2.014359195,2.482717279,2.759862484,2.514131455,2.731107572,2.823009008,2.691108248,2.579063945,2.926486091,2.418580834,2.429497982,2.425600821,2.39086977,2.53882238,2.595432069,2.600112082,2.521215457,2.246141486,2.136647112,2.206292437,2.233990437,2.055853594,2.289847253,2.505427262,1.80804782,1.628498895,1.705086707,1.702843755,
        Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
        Costa Rica,CRI,2.704904573,2.804034049,3.032594101,3.08053202,2.985858195,2.914229942,2.902592093,3.090002856,2.95837144,3.259827127,3.252671072,3.19957697,3.220793796,3.150355591,3.110606318,3.109441945,3.023377143,2.952276624,2.855170233,2.801780593,2.702571017,2.601767314,2.504571613,2.459100714,2.422975287,2.43855052,2.418813605,2.41154457,2.415522511,
        Croatia,HRV,--,--,4.9489901,5.442415888,5.495577045,5.369614664,5.001012587,4.810258079,4.965474442,5.058148887,4.827551617,4.866928823,4.502054008,4.664835188,4.446766018,4.274755464,4.078167862,3.852812102,3.820676471,4.010001929,4.115298729,3.687239752,3.770059401,3.818183589,3.685863509,3.477633675,3.450041038,3.379108229,3.477977636,
        Cuba,CUB,5.75747521,5.998943032,6.037065784,6.931321246,6.956956903,6.922529412,6.619668836,7.08837398,6.732216331,5.485257817,5.008585764,4.470188453,4.460098547,4.36171677,4.175298728,3.694621287,3.213323667,3.026033093,3.325341352,3.302771744,3.66368627,3.20146871,3.381273586,3.156269798,3.181926596,3.053711369,2.368892896,2.479034504,2.542449096,
        Cyprus,CYP,0,0,0,0,0,5.281458487,5.140322544,5.121576696,5.190987335,5.264336537,5.203716488,5.024199462,4.801866229,5.03990514,4.317835388,4.555038641,4.512109854,4.415069632,4.41885373,4.353773705,4.103991751,4.07166056,3.983375907,3.815079507,3.920192613,3.898273898,4.011063867,3.877969755,3.704920937,
        Czech Republic,CZE,--,--,--,8.422630185,7.916850864,7.656322939,7.693483204,7.612100834,7.299042845,6.765789062,6.949356988,6.888597287,6.790181051,6.967667596,6.807289399,6.31566744,5.937348762,5.59079203,5.405399801,5.406519729,5.452590486,5.303579166,5.317690308,5.188569892,5.061514103,4.766654464,4.558550895,4.606688671,4.434455679,4.383055356
        Côte d’Ivoire,CIV,1.370691135,1.158455307,1.127584004,1.270093764,1.299785711,1.32384723,1.42954862,1.406510984,1.353051526,1.721061594,1.767596743,1.749076306,1.728929508,1.580202886,1.685209449,1.838940245,1.548625113,1.628303605,1.745664452,1.644924935,1.648473896,1.604353191,1.766490152,1.796025624,1.743911511,1.595634433,1.690031972,1.572813452,1.467512787,
        Denmark,DNK,4.021641779,4.334331674,4.083691249,4.285096387,4.309763141,4.227887821,4.558462524,4.175212898,3.987936428,3.800227684,3.574360297,3.592924871,3.44657402,3.587134119,3.389611831,3.23539269,3.316402129,3.20231182,3.098568286,3.062254325,3.155075606,2.96406745,2.809616357,2.835596873,2.695000747,2.597861888,2.55783631,2.493695485,2.41742944,2.408544654
        Djibouti,DJI,8.563029986,8.962440651,9.024119781,9.737146357,10.13923194,10.40679499,10.83991216,11.046465,11.03386604,10.72095235,5.223470962,5.112392101,4.966707756,4.992957528,4.725026743,4.333343719,3.863068567,3.828964187,4.04680817,3.458170433,3.781410417,2.662287362,3.35069994,3.294019473,3.130378017,2.555776308,2.183809957,1.806416122,1.752215982,
        Dominica,DMA,1.744052545,1.721906675,1.687919702,1.648207656,2.100704721,2.532991319,2.463453656,2.419344342,2.447532346,2.52351298,2.875026777,3.079967806,2.986997212,3.1332783,3.602117406,3.429298572,3.267356891,3.71169181,3.119581832,3.205266092,3.329809925,3.380882786,3.28799119,3.317666305,3.277581019,3.498489134,3.566924503,3.574250476,3.602981928,
        Dominican Republic,DOM,3.380862229,3.237342626,3.132549213,2.739683031,2.913372944,2.980954018,3.024050551,2.961454142,2.864637714,3.04881659,3.97255431,3.792808502,3.786656015,3.483296273,3.204653771,3.21580611,2.902321519,2.751308848,2.649948257,2.593814207,2.51441208,2.398812344,2.591878978,2.356263609,2.113133286,2.191524719,2.185469891,2.059515311,2.128260504,
