,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Albania,ALB,11.4,9.04,6.99,6.930000000000001,7.77,7.529999999999999,7.25,6.539999999999999,6.769999999999999,7.99,8.38,9.06,9.67,10.11,10.16,9.94,8.75,9.03,8.539999999999997,8.600000000000001,8.880000000000003,9.329999999999998,8.939999999999998,9.049999999999997,9.539999999999988,9.479999999999992,9.329999999999993,9.899999999999991
1,Algeria,DZA,96.0,94.87,94.5,102.03,99.78,103.98999999999998,105.3,109.39000000000001,114.72999999999999,120.70999999999998,127.65999999999998,125.25,132.49,138.28,142.17000000000002,147.68,145.89,153.14,156.4,166.21,167.32,179.67999999999995,189.89,193.59,203.78999999999996,211.66,209.41,211.50000000000003
2,Angola,AGO,150.61,151.28,151.61,152.39,152.54,156.9,161.39,156.01,170.08,161.98,161.87,143.61,164.51,181.0,193.17000000000002,191.84,165.81,196.13,173.99,180.66,186.83000000000004,220.91999999999993,185.95,203.34,185.1,207.66,182.19,176.84999999999997
3,Antigua and Barbuda,ATG,0.33999999999999997,0.3499999999999999,0.43000000000000016,0.4099999999999999,0.4200000000000002,0.44,0.47000000000000014,0.5000000000000002,0.5500000000000003,0.5700000000000001,0.5900000000000001,0.6499999999999997,0.7099999999999999,0.7400000000000003,0.7500000000000001,0.7800000000000004,0.9499999999999994,1.01,1.0600000000000007,2.0200000000000005,1.129999999999999,1.0700000000000016,1.289999999999998,1.059999999999995,1.0799999999999996,1.1000000000000003,1.139999999999996,1.1700000000000026
4,Argentina,ARG,323.84,328.83,333.22,335.73,340.81,341.39,344.46,346.24,351.87,357.06,354.96,375.63,378.78,401.76,427.68000000000006,420.84,454.28,458.1,468.33,452.69000000000005,440.34,450.1,464.88000000000005,462.89,456.74,460.2100000000001,469.73,469.62
5,Armenia,ARM,24.44,25.07,14.95,8.76,6.24,6.84,5.780000000000001,6.390000000000001,6.309999999999998,5.799999999999999,6.150000000000001,6.260000000000001,5.920000000000001,6.350000000000001,6.74,7.460000000000002,7.899999999999998,8.569999999999999,9.11,8.02,7.880000000000001,8.229999999999995,9.220000000000002,9.149999999999997,9.11999999999999,9.110000000000003,9.360000000000003,9.130000000000006
6,Australia,AUS,511.19,511.12,513.28,512.97,516.04,524.13,517.13,528.17,554.21,589.37,608.2,700.97,688.45,615.56,659.13,616.08,630.93,622.43,591.83,612.67,573.4,612.47,613.1200000000001,522.09,530.85,529.3800000000001,507.17,553.12
7,Austria,AUT,64.25999999999999,68.47,62.68,62.6,62.69,65.17,68.88,67.87,67.85,66.03,66.24,75.31,77.04,82.93,82.54,82.56,83.17,80.08,79.66,72.69,78.41,75.74999999999999,72.53,73.08,69.31,70.44000000000001,70.61999999999999,72.78999999999999
8,Azerbaijan,AZE,75.54,84.57,60.87,69.01,62.48,60.43,55.79,55.879999999999995,56.72,57.03,59.14,59.7,60.61,58.31,59.59,63.58,60.089999999999996,58.75,66.33,67.26,71.54,73.84,75.01,74.56000000000002,74.74000000000001,73.04000000000002,73.05000000000001,71.65000000000002
9,Bahamas,BHS,0.6399999999999999,0.7399999999999999,1.3999999999999997,0.9700000000000002,0.9099999999999996,0.9599999999999996,0.8499999999999999,0.6499999999999997,1.1700000000000002,1.13,1.06,1.4599999999999995,1.6500000000000001,1.5700000000000005,1.69,1.47,7.300000000000002,7.330000000000002,7.4799999999999995,11.34,7.36,3.3299999999999925,4.37999999999999,4.060000000000001,3.4,3.1699999999999986,3.0599999999999956,3.0299999999999963
10,Bahrain,BHR,14.060000000000002,13.76,15.780000000000001,16.67,17.120000000000005,17.96,19.34,20.33,22.17,22.859999999999996,24.02,24.85,26.01,27.07,27.37,30.450000000000003,32.88,34.02,36.43,37.01,38.91,39.65999999999999,40.88,43.74999999999999,45.89,46.93999999999999,47.15,47.940000000000005
11,Bangladesh,BGD,116.27,116.46000000000001,118.36,119.56,122.01,127.04,126.94,129.18,129.22,133.35,135.51,139.33,142.55,144.36,147.17000000000002,150.54,146.35,148.65,157.69,160.23,169.59000000000003,182.64999999999998,184.96,188.82,193.91,202.94999999999996,203.15000000000003,211.04999999999998
12,Barbados,BRB,3.1000000000000005,3.14,3.369999999999999,3.2200000000000006,3.3000000000000007,3.35,3.3600000000000003,3.4700000000000006,3.589999999999999,3.6399999999999997,3.5799999999999996,3.6599999999999997,3.710000000000001,3.72,3.7199999999999998,3.759999999999999,3.890000000000001,3.9100000000000006,4.2299999999999995,7.070000000000001,4.06,4.089999999999996,4.659999999999995,3.9400000000000017,3.7700000000000005,3.780000000000003,3.8199999999999994,3.719999999999997
13,Belarus,BLR,126.0,120.94,107.71,94.93,81.89,73.8,73.38,73.68,71.73,69.4,66.7,58.04,64.64,60.260000000000005,61.41,62.53000000000001,58.42,55.56999999999999,59.64,57.150000000000006,61.39000000000001,84.50000000000001,88.34,87.01000000000002,88.06,84.13,80.62000000000002,82.27
14,Belgium,BEL,126.89,131.83,129.92,127.74,133.1,133.27,138.63,135.44,138.21,134.36,135.04,135.37,128.09,131.47,130.04,126.18,123.82000000000001,119.15000000000002,121.48999999999997,114.43,121.75,109.56000000000002,108.87000000000003,110.14,103.74,108.80000000000003,107.62999999999998,105.53
15,Belize,BLZ,13.23,13.44,13.660000000000002,13.73,13.840000000000002,12.750000000000002,9.8,8.6,7.88,6.669999999999999,5.63,7.210000000000002,9.66,10.250000000000002,6.93,9.320000000000002,7.58,9.85,8.420000000000002,8.01,9.320000000000002,7.219999999999996,3.519999999999998,7.630000000000004,3.5799999999999983,5.279999999999996,4.939999999999996,4.9600000000000035
16,Benin,BEN,19.95,20.079999999999995,20.2,20.32,20.600000000000005,20.46,21.929999999999996,22.21,23.34,23.11,23.34,18.5,19.719999999999995,19.520000000000003,19.48,20.9,21.45,22.469999999999995,22.080000000000002,22.839999999999996,23.46,23.700000000000006,23.630000000000003,24.12999999999999,24.739999999999995,25.410000000000004,27.360000000000003,27.889999999999993
17,Bhutan,BTN,-2.93,-2.88,-2.89,-2.92,-2.8899999999999997,-2.79,-2.78,-2.7,-2.68,-2.62,-2.68,-3.03,-3.0,-3.03,-3.05,-2.86,-1.42,-1.3099999999999994,-1.4700000000000004,-1.4500000000000006,-1.2600000000000002,-1.9900000000000044,-1.7699999999999978,-1.8200000000000014,-1.7099999999999986,-1.690000000000005,-1.469999999999999,-1.3700000000000006
18,Bolivia,BOL,110.14000000000001,110.93,112.75,114.52,116.59,116.16999999999999,112.75999999999999,113.79,114.80000000000001,120.27000000000001,110.87,110.27,118.68,114.67000000000002,133.05,128.59,133.63,142.6,135.82,133.38,169.87,142.83,137.67000000000002,137.6,138.71,141.95,150.52,151.69999999999996
19,Bosnia and Herzegovina,BIH,22.2,19.669999999999998,12.13,8.69,-1.64,-1.73,-0.6299999999999999,4.23,7.089999999999998,7.199999999999999,10.91,18.57,18.66,19.570000000000004,20.26,20.88,22.77,24.06,25.840000000000003,26.010000000000005,26.01,29.32999999999999,27.49,27.099999999999994,24.529999999999998,24.759999999999998,27.280000000000005,27.530000000000005
20,Botswana,BWA,61.18999999999998,60.63,60.89000000000001,60.57999999999999,60.85,61.78,75.65,86.57999999999998,95.96,80.47,68.33,55.49999999999999,148.35,89.43,30.210000000000004,79.22,41.56,83.81,46.17,28.269999999999996,37.57,47.85,34.15999999999999,66.36000000000001,34.31000000000001,131.82,69.97,76.03
21,Brazil,BRA,1496.37,1523.64,1533.58,1543.78,1560.1099999999997,1580.16,1576.14,1606.8,1641.73,1650.9,1647.41,1900.3,1945.72,1959.6300000000003,2006.2500000000002,2016.51,1422.0,1467.19,1455.75,1434.3,1541.66,1308.92,1354.86,1372.14,1416.0,1411.9500000000003,1381.11,1392.8
22,Bulgaria,BGR,86.94999999999999,69.73,63.86,62.379999999999995,58.49,59.71000000000001,60.18999999999999,57.66999999999999,53.83,46.9,46.32,46.61,43.54999999999999,48.36,47.1,47.01,50.99000000000001,55.2,52.67,45.2,46.91,52.78,47.080000000000005,41.93000000000001,44.500000000000014,47.13999999999999,44.11,46.28999999999999
