,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Albania,ALB,6.830770197,4.756772992,3.901890471,2.890835751,2.328549426,2.463787517,2.019993742,1.958145439,2.331577807,2.926686734,3.264883293,3.579187341,3.750333192,4.25058022,4.345900091,4.637862111,4.612172485,3.173024237,4.525973878,3.02339894,3.673558222,3.756730087,3.393630544,3.857129766,4.043419507,3.913785734,4.105771205,4.483725681,4.031246029,4.206914305000001
1,Algeria,DZA,69.77155239,76.41920868,74.39048804,68.12408791,70.37499931,72.73684879,71.01265737,67.10799232,70.73252932,70.68890255,70.05952682,70.8334408,72.17892128,72.47891745,71.87850939,82.85727868,86.02878481,87.28944471,56.22255541,99.38018585,101.3528967,112.4887512,122.0168377,118.7205639,131.6959385,138.6224376,137.1907055,137.6783481,145.9879691,140.28567423333334
2,Angola,AGO,4.855407096,5.0110066,5.218203145,5.098585546,4.919904059,5.298585546,5.098585546,5.718203145,4.837820744,5.698585546,5.418203145,7.339732749,7.81629114,8.275143938,8.571319928,8.475143938,9.433996735,10.42826072,10.83399674,12.35361433,16.43470477,17.29977445,18.37975953,20.11390904,21.74356254,22.91092341,23.8693647,21.27188914,21.20316061,22.114804816666663
3,Antigua and Barbuda,ATG,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.690569119,0.7,0.7,0.7,0.690076094,0.707217069,0.705863443,0.719317413,0.751413,0.762758,0.7159054,0.7348894,0.7378509333333335
4,Argentina,ARG,99.37886885,104.1947663,105.5507995,115.8614647,112.113004,115.124917,123.0610786,125.7896239,133.6484462,139.3732993,137.7194221,127.2982254,119.2219627,133.0034949,140.3617567,151.9936417,156.319849,157.8722287,169.1767802,168.4271202,186.4270052,190.2935755,195.5648086,196.6892367,197.3258711,214.148988,214.123013,195.1401068,191.3657942,200.209638
5,Armenia,ARM,7.998476227333332,7.998476227333332,11.10020681,6.866926082,6.02829579,7.089674037,8.071509648,7.479557823,7.864828592,7.743406613,8.372155215,8.551151861,8.242803401,8.796330443,9.013094019,10.23672109,10.23778008,11.15540358,11.09244586,10.04161989,4.813019398,5.238929565,5.991110422,5.808716504,5.983706514,5.026330456,5.388280856,5.764256766,5.976457104,5.709664908666667
6,Australia,AUS,296.6599008,294.4452042,299.6645037,299.5773946,305.6937416,317.5313223,331.3257071,337.9295909,358.0905504,366.8776306,364.2625398,369.4925167,380.3556996,375.1910011,385.5074156,395.8152439,402.3562012,417.6607254,413.0610508,426.9028822,409.5165044,407.6002522,410.7313114,401.9431102,394.3185037,401.9923625,406.0964975,412.2693706,400.9367839,406.9018154
7,Austria,AUT,60.07248464,64.73054929,59.61458249,60.19787506,60.4885164,63.51507342,68.80843127,68.84710553,68.38418331,67.70388996,66.57679199,71.59262118,72.39618172,77.50612298,79.49709612,81.38587903,80.01464542,77.40056019,76.27576927,69.52947369,75.51809913,71.96844606,70.52065335,70.84943064,67.49527671,69.16271653,69.7159941,71.48376382,70.10863163,72.20243568
8,Azerbaijan,AZE,51.709849453333334,51.709849453333334,58.09762902,50.58907278,46.44284656,45.67027101,39.24911293,37.97702484,34.97612805,35.78106473,31.11468147,31.18865281,34.48132967,33.84942177,36.38010657,37.23831437,40.05852112,31.14846486,34.52630736,29.16180596,30.97807962,30.13964086,33.21612913,31.49000261,32.52552601,34.22000341,33.76820883,33.5050862,33.28563789,33.51964430666666
9,Bahrain,BHR,14.28788278,15.94322689,13.53656269,15.98685056,15.83158013,15.93158013,15.88876257,18.43522643,19.4629896,20.29840079,20.31228238,20.75966315,21.85824869,22.47213028,23.12715906,25.31044857,27.82673971,28.54626482,30.54544041,30.8827636,31.35167397,32.8853206,34.99192671,38.72092149,38.51188851,38.81548751,39.16256816,38.93443363,39.0144425,39.03714809666667
10,Bangladesh,BGD,13.66033865,14.49077986,16.43332189,17.82756497,19.79806387,21.93681766,22.70818802,23.38994812,25.18767798,28.44799348,29.86459791,32.90511467,35.49830009,38.33162411,40.51187588,42.75261806,46.89940912,47.92891948,53.27054365,57.68528361,56.10795783,59.72643141,64.23956997,65.43846884,68.87229359,77.14361221,81.19022167,84.26864106,90.78163083,85.41349785333334
11,Barbados,BRB,1.266699837,1.364738077,1.394164475,1.392202715,1.290240956,1.392202715,1.088279196,1.484355676,1.472585116,1.592202715,1.674374634,1.662776317,1.656891037,1.656891037,1.158852797,1.551695148,1.45270089,1.409851156,1.43339064,1.532032888,1.431680878,1.926933182,1.810688761,1.852327062,1.609840058,1.711547679,1.73882031,1.593928257,1.702104465,1.6782843439999997
