,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Albania,ALB,34.94914184,29.3633976,25.93779776,23.10761606,22.30344023,24.91219934,27.54142926,25.1461162,26.9529415,24.16377954,31.32934599,29.69081468,32.19567774,36.4084849,38.69708632,38.70388542,36.7250145,31.91345181,35.21682764,38.70478493,42.92865789,36.33356363,35.68232324,43.75971322,40.00197936,40.23404178,44.90183992,42.88514047,48.24413952,83.33403443210342
1,Algeria,DZA,47.2719997,51.287747780000004,48.1649809,43.32073564,43.70745074,44.83447467,43.17811189,40.47113202,41.42707362,40.69098875,41.04544489,40.55701132,41.04380659,41.00896286,39.62443331,44.96168017,46.36273996,45.3579839,48.29804594,50.49330479,49.41325393,52.86187308,56.12587571000001,53.42370884,59.08736570999999,59.19709604999999,57.60964833999999,57.04872044,59.59042129,88.83822030960106
2,Angola,AGO,6.718935398,6.812131049,6.689228629,6.357411916,6.005854314999999,6.238312774,5.806087232,6.315155017,5.503247441,5.946264411999999,6.752911822,7.09457362,7.312659828,7.845411732,8.381498845,6.887931408,8.375992178,9.279723789,10.48021099,11.49156114,12.151704799999997,12.284364739999997,12.37618379,13.36731054,14.207058400000001,14.337035160000001,13.570593910000001,12.63079827,12.61689055,68.88574341803033
3,Antigua and Barbuda,ATG,95.4460828,93.28069747,91.76333983,89.82143239,94.40721953,98.85294437000002,97.04518152,97.69271284,95.73145205,93.8476469,95.90303696,94.54593024,99.94587397,103.6046289,105.9979484,106.1777286,107.6955509,111.10104590000002,111.90411880000002,115.4684139,109.9804312,108.30774330000001,109.936928,108.6138911,109.72148139999999,110.9781155,111.6047367,105.1594256,107.6605694,115.16263328497283
4,Argentina,ARG,57.65640313,59.47710205,60.90594591,64.94014374,64.80172548,66.03614469,67.66628139,68.76621184,71.03404036,69.95252,74.86106566,72.67380878,67.65413379,72.57971984,77.18214404,80.26877898,84.54451035,85.13571691,87.64610106,84.87760298,86.89885431,87.82366214,88.75141184,89.07745894,88.4305476,88.81693863,87.9768686,83.2752293,80.56202018,103.87005720266237
5,Armenia,ARM,29.038892941323912,28.39805761563391,57.24214004,44.59780018,40.83368782,40.8787341,53.14039133,45.2860181,48.5042087,30.168808,32.65152041,32.30971515,31.119860319999997,34.40251291,35.88643368,41.84289894,42.10325754,47.6595456,46.39073002,41.72986207,46.64952181,49.12657667,51.91738085,50.69903785,51.41417723,47.4258432,47.58873342999999,50.56757357,49.63777835999999,86.23427429219815
6,Australia,AUS,229.7155435,225.1382755,226.768715,226.964638,229.5874678,235.9161392,242.6776229,245.1552122,253.96239829999996,257.9035821,254.1266001,254.09346440000002,259.4906651,256.6254342,261.2036374,264.8396841,265.4289329,271.0386714,263.6016457,264.5702268,254.84145490000003,255.0782384,253.7041743,249.36062939999997,243.4459685,242.3797043,243.7929286,245.73183669999997,239.0877637,245.50063729999997
7,Austria,AUT,150.9058582,157.2248035,152.2282627,154.2438977,153.1662029,160.14153,167.0244426,166.910461,169.7362986,171.4132249,169.5824125,176.9120268,175.9771166,178.0098129,183.219108,188.8084714,186.8609083,182.9503871,182.6464157,174.3330021,178.3947628,169.53920519999997,173.7749552,173.646886,166.433681,164.8441717,166.9297404,169.3354478,164.9357776,170.0757186
8,Azerbaijan,AZE,48.40523552399744,53.44081739128027,132.65353,111.2924599,98.82335569,93.63909769,81.88432172,80.54394716,68.39851667,69.98863338,62.46888898,54.36452193,64.25672548,67.87080516,74.09466264,75.90936266,76.10941938,62.0069107,65.67239883,60.91991712,64.95075133,60.730101870000006,65.1140014,60.44778814,61.54990419000001,64.25576888,62.54576092999999,61.61714252,61.18921820999999,92.88900342112576
9,Bahrain,BHR,547.3073971,596.2364824,487.1994921,567.0924538,544.9232405,532.7237254,515.0273669,558.7863597,527.839728,491.6743831,605.4439965,589.2220028,593.2834993,576.1062051,553.8712339,575.857991,568.619517,539.5062361,532.103588,493.3297439,478.3799478,486.60642210000003,516.7010011,554.3410978,523.8711333,506.9909527,486.5451039999999,475.09454860000005,480.4392617,294.456512324007
10,Bangladesh,BGD,2.317566798,2.410375137,2.647463237,2.80305307,3.037431038,3.25234956,3.30651486,3.323036999,3.483920979,3.838730893,3.99903397,4.297432664,4.439495822,4.802497506,4.891278482000001,5.123497627,5.450782459,5.654607264,6.043859348,6.291395157999999,6.561404985,6.823043818,7.269839161000001,7.354913949,7.677652168,8.489657307,8.973519627,9.143376923,9.614602053,66.62328807115641
11,Barbados,BRB,71.94275071,72.47298767,76.2721451,74.05508925,69.96148298,72.31890863,64.666605,77.5233688,78.40445591,81.74229182,87.53601782,87.27223325,87.56106316,88.20187865,88.55192956,88.90208384,88.7330421,84.28677981,98.94247739,92.86366028,89.17371652999998,93.30590716999998,87.47535098,88.64792872,76.95016998,81.71096181,83.43941659,78.70469176,83.70210589,105.6189139395562
12,Belarus,BLR,85.61444874260638,88.89318454587266,147.9147161,126.35508359999999,104.7159529,99.1155738,99.47116735,98.98574426000002,97.35571537,101.0917028,110.50603429999998,102.89273189999999,100.5948588,106.0513158,99.91400602,113.0265141,121.18131790000001,118.04103579999999,119.8528572,111.76258619999999,119.1403726,123.32199519999999,124.3667882,118.71327409999999,118.81255959999999,101.0107628,99.96927763,99.54199784,105.531797,118.75932363863771
13,Belgium,BEL,222.068502,229.0850832,228.4184392,224.247925,237.8643661,240.9735047,254.3571522,254.9841822,260.6338737,258.2976502,263.5898878,262.1005348,259.5183433,266.7606543,269.1369663,265.0495872,262.5715339,261.7865739,267.7459592,242.337026,257.5948592,238.2942796,230.2055876,236.09575949999999,219.4992799,220.8954668,233.2175058,233.7022995,234.3539135,237.75555469999995
14,Belize,BLZ,26.07453008,28.98640792,23.89849091,23.43852511,21.91455741,26.41044261,22.84990305,34.03374862,32.20930266,32.27559342,33.29991577,35.5403904,33.43340738,31.94293246,29.98654233,31.28485282,35.05919099,32.22880039,30.37751981,30.87064721,35.76375944,30.463412779999995,30.920900279999998,32.94408431,32.05428716,34.69568971,34.03171461,37.07580461,32.48904751,78.76585294201178
15,Benin,BEN,1.752359953,1.980104826,2.124834231,2.256111819,2.280993873,2.382089306,2.519833581,2.64456923,2.767770263,1.319238937,3.411573322,3.7672107189999995,4.186919493,4.715654764,4.824927312,4.39769138,5.838961477,6.698699011,6.659763235999999,7.188876457,8.016396562,7.266581028,6.706384321,6.64500826,6.832509696,7.34991114,9.034838015,8.9909299,8.746353121,66.79662048108496
16,Bhutan,BTN,23.98058073,24.38262113,24.72812492,24.78895262,26.45804397,28.21404546,30.29292628,29.90637248,28.6646753,28.39557939,28.71160364,31.088250600000002,33.74321381,36.88951429,34.85782833,38.79564098,62.13987856,76.78564639,78.48594851,80.5117395,85.28815344000002,81.97463437,78.6861035,86.12152352,81.48469771,84.34252623,85.69534652,84.1319248,78.46369066,102.33148361341279
17,Bolivia,BOL,13.43914672,12.94752855,13.68857845,13.224472989999999,14.46673568,16.24025682,15.58713213,17.13307293,15.57958156,17.16110845,17.66716321,14.83367539,15.87895899,20.95604584,21.34243912,20.53919158,22.21516992,23.46227177,23.67823013,22.950966979999997,22.908076610000002,23.32928016,27.21392613,27.14880467,26.965762389999995,27.91726597,28.49030883,27.68226525,28.185805440000003,74.84926280942487
18,Bosnia and Herzegovina,BIH,44.918238166154616,48.62443807947924,35.13697884,26.34414403,28.71585492,48.949825600000004,30.9712953,44.51515565,52.59668081,53.22569284,58.82849118,58.45776194,58.69407854000001,51.17154897,52.82057791,48.79516926,49.87215368,47.67269369,54.02225935,65.2738677,70.44900344,69.08419059,68.25152031,70.52542244,69.4593911,70.63373196,73.14265448,73.33672588,75.1158908,97.30583274053093
