,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Angola,AGO,496.5365321999999,491.80257069999993,478.58578099999994,479.82002969999996,470.9384125,455.6660874,454.05508139999995,449.25438949999995,433.88252300000005,441.1631632,438.5499123,442.9788396000001,448.26169450000003,467.64411090000004,464.80802090000003,433.57248610000005,458.79407369999996,471.6942449,491.97857120000003,515.2172566,520.9623361,521.7807029,552.3637656000001,533.7608866,544.6094435,1887.276115127322
1,Albania,ALB,813.2556955,572.7818440000001,418.2866298,412.3788805,441.2492954,417.034843,447.8488703,384.59495830000003,426.6828191000001,576.1836323,580.4947642000001,597.2652527,660.0479841,648.1683871,715.4144831,719.5843781000001,706.8594077,679.8617651000001,710.7484985,732.3166818,729.1543727000001,764.9686166,687.8962598999999,801.329975,808.4558396000001,2116.6685815388164
2,United Arab Emirates,ARE,11170.232829999999,12124.91179,10890.46233,10820.1138,11355.46425,11463.18267,11511.80507,11558.555729999998,11223.959859999999,10870.46553,10057.91899,12172.41294,11462.50211,10568.83035,10286.80298,9698.294241,8716.292981,8127.9344630000005,8367.15271,7572.358264,7215.210459999999,7190.969531000002,7481.192238,7604.841340000001,7648.394073000001,8060.044721240391
3,Argentina,ARG,1412.179959,1435.4845710000002,1489.3478599999999,1474.306893,1548.623393,1551.745214,1589.9175560000003,1621.909095,1658.495772,1668.225144,1669.526337,1570.897501,1510.3134429999998,1598.789625,1728.2140920000002,1720.674023,1853.041761,1858.3918429999999,1937.6415149999998,1865.3373559999998,1928.652357,1952.0510530000004,1936.8035399999999,1967.0216779999998,2029.922825,3175.144873869503
4,Armenia,ARM,2178.54797,2317.920068,1199.771408,651.9362578,419.8218819,511.1720861,562.1623294,594.2511541,609.9953324,593.541641,656.3076521,657.4734338,618.4551228999999,656.4803517999999,698.0852897000001,842.6995011,864.8849457999999,972.7993617000001,1033.172893,903.6998103,863.0274624000001,944.0410271,1029.93996,1000.955276,1015.9098859999999,2290.2867645670017
5,Antigua and Barbuda,ATG,1580.4057380000002,1534.3227356205543,1578.6577151498134,1544.5883685852239,1420.2437417673732,1458.172810542251,1513.0279938517563,1722.1612725345697,1753.5468735446898,1793.786842164272,1665.342756600601,1764.3316680253824,1905.2515165637503,1858.0065124338437,1680.21208,1681.765731,1728.8279030000003,1737.4953879999998,1596.2053279665072,1649.02218875273,1663.7538029132604,1746.1723630961433,1711.90626783739,1786.124373352882,1758.4952709553127,2920.6353583528307
6,Australia,AUS,5061.508459000001,4927.78159,4959.214919,5147.53665,5089.788967,5129.223661,5393.580635,5469.599989,5553.653466,5610.344711,5644.064950999999,5446.973213999999,5569.640992000001,5568.764940999999,5598.088178,5564.087168999999,5709.344668,5868.347097000001,5964.665776,5862.551944,5793.116026000001,5745.23219,5575.287093000001,5468.391369,5334.681679000001,5483.816402
7,Austria,AUT,3240.111359,3415.1730820000002,3245.5920760000004,3255.7847039999997,3234.4929850000003,3373.603565,3580.4207979999996,3550.4041710000006,3606.6103789999997,3591.8094659999997,3570.498826,3758.4575689999997,3773.6517280000003,3973.6243270000004,4007.569904,4085.567651,4078.812226,4019.5901700000004,4032.1484259999997,3798.151168,4051.1960200000003,3921.900515,3886.7677320000003,3919.044419,3763.3279030000003,3800.2994200000003
8,Azerbaijan,AZE,3165.494902,3087.874708,2464.5973989999998,2175.284456,1947.6919839999998,1809.154327,1513.673193,1444.3194589999998,1485.1534179999999,1369.111898,1403.4332679999998,1410.965455,1414.5281109999999,1476.590884,1539.2301210000003,1599.9606759999997,1559.5687460000001,1411.55734,1520.313919,1334.166178,1279.552594,1369.3509990000002,1472.897391,1474.003433,1502.0781679999998,2700.3667500958813
9,Burundi,BDI,4809.867268,5006.004706000001,5040.67044,4902.269974,5186.186627,5267.670671,5536.471275,5523.459164,5603.160264,5612.714676,5669.358176,5634.2154869999995,5390.719733,5590.025976000001,5592.98875,5555.6157840000005,5470.491824000001,5336.963212,5454.6671590000005,5196.581983,5539.472223,5092.316147,4845.488295,4997.463306000001,4708.221218,4687.7870490000005
