,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Angola,AGO,25.48038842,25.482861090000004,24.09807593,24.964661819999996,24.439683019999997,22.78019633,23.49809695,23.87447372,22.12486544,24.71441292,25.22005192,26.67929998,28.14780415,31.72142412,31.561637189999995,27.083771470000002,31.674674359999997,34.74247582,37.96075957,41.79933124,42.99251503,43.8497839,48.01005977,46.50855392,48.30559301,50.337050865710005
1,Albania,ALB,76.59397508,69.82499607,56.07929065,53.478977959999995,54.84691479999999,49.54164119,45.45376374,41.44934024,45.294818299999996,58.23879385,58.715098010000006,60.95582784,63.23313038,64.52837122,65.57827326,66.48668055,64.45598989999999,65.12239247,63.84717579,63.42172639999999,63.23900375,61.50276527,57.75408172,56.395338810000005,61.42180139,60.156400105192134
2,United Arab Emirates,ARE,100.0,99.91502898040935,99.85522171,99.88737141000001,99.90964437000001,99.91496754,99.93960629,99.94282166000002,99.94641397999999,99.94752516,99.9463267,99.95791015,99.95756782,99.95686804,99.94023556,99.93717685,99.92993397,99.92517547,99.92683096999998,97.17089890079203,91.80353592523659,91.67558547,90.10453743,93.6148829,86.12834902,88.36040472350592
3,Argentina,ARG,88.65260513,88.85473896,88.80594542,87.68722886,87.00193544,87.09209567,87.69628353,86.89501343,86.78511763,88.27912241,88.38751029,85.99454411,85.80340795,86.01471381,89.32496763,89.05328415,88.65322796,89.22537849,90.65178935,89.61199315,89.50324321,88.85381112,89.02490707,88.96606441,87.72240748,87.13229368258794
4,Armenia,ARM,97.04405518,96.51656694,92.71928489,82.06376731,76.96840312,84.25106362,57.650823949999996,70.63609757,72.12610749,65.2516387,70.04899236,71.1767448,61.80609664,65.7106213,66.90142761,68.09841787,67.49580824,70.552564,73.28613291,68.2054583,67.40110849,71.54992989,77.33294329,75.49284382,74.56186571,75.6494437734214
5,Antigua and Barbuda,ATG,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
6,Australia,AUS,93.91128569,93.68871804,94.34266007,93.75834560999999,93.88648312,93.83177017,93.64822076,93.51265089,93.87865071,93.92791207,89.32816819,98.05308843,95.89021479,93.88602451,94.06821267,94.21585218,94.28316545,94.29310395,94.35148823,95.51005853,94.42474222,94.42165586,94.37700612,93.70804882,93.38683566,89.62563011
7,Austria,AUT,79.13234543,79.12700716,77.23721117,77.01114248999998,77.58570758,77.98279868,78.19818694,78.41612405,78.51556371,76.60732845,76.53529223,76.89638903,77.31087417,78.1444293,77.69929366,77.03042943,74.69833424,72.62977854,71.55486309999999,69.83650772,70.26705703,69.15418340000001,67.30250679,66.25380351,64.81315647,65.66182199
8,Azerbaijan,AZE,99.90499422,99.90295269,99.32101065,98.58502553000001,98.66479606000001,98.65973318000002,98.39426687000001,97.89809801,98.23795383999999,98.0526344,98.28790192000001,98.39211829000001,97.31467397,96.94923599,97.13499898,97.11654376,97.60562064,97.76469853,98.30247707,97.91653071,96.93249161,97.86257155,98.47670157000002,98.21123272,98.36599003,95.92329928527062
9,Burundi,BDI,75.81586996,76.39700683,75.93220102,75.93501516,77.64937481,77.40569753,77.64448379,75.89831874,77.04852705,75.7901429,75.8540864,75.62829263,74.47018148,75.23284587,75.01945859,74.76394898,73.94251149,72.66654993,73.39363209,72.64002312,72.79361704,70.25449593,71.11571411,70.8203058,72.65250484,75.87078435
10,Belgium,BEL,4.838998023,3.854705081,3.9312846799999996,3.835510654,3.865559423,3.780880657,13.33205008,17.32187486,17.33049548,21.00728423,25.486187820000005,27.46527702,29.64712259,32.0774443,32.8223794,31.04976023,36.32541119,39.66925034,39.07586139000001,39.80167892,41.55418574,39.43086778,36.17277074,36.47506881,36.72458133,40.3203494491426
11,Benin,BEN,45.52428698,44.67103918,46.72802762,49.45684213999999,50.25109694,54.40918593000001,56.07741741000001,56.57335085,57.62886783999999,57.27512604,57.94291987,60.723037100000006,61.04664093,62.39427040000001,62.484647339999995,63.34035290999999,65.33087795,66.41712545,67.58003802,69.00602698,70.96940448,71.64883909,72.68378039,72.86167193,73.76893795,73.24633171306854
12,Burkina Faso,BFA,84.12115557,81.87300483,82.48892414,81.91968186,79.84780036,78.77100169,77.48124012,76.82164659,76.14153183,74.73726206,72.38504117,73.14546314,70.46655611,74.09060224,73.97692939,72.96125478,72.47924391,77.72065833,76.14213638,73.02381788,73.16454291,75.04395129999999,72.18710039,70.20847929,71.04592252,71.47917002554915
13,Bangladesh,BGD,99.82209057,99.91097136275322,99.91785255000002,99.9680214219384,99.97064929000001,99.99998445000001,99.94205771000001,99.96024530482225,99.93882341,99.94521506931163,99.65211527072589,99.954494,99.64630743049663,99.05888345999999,98.9432433421071,98.9432433421071,98.87974615767108,97.83177195,98.8432974008122,99.78244843,98.84024428891873,98.78594550999999,99.25625673721133,99.33674295861564,99.36584717,96.78621560834426
14,Bulgaria,BGR,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
15,Bahrain,BHR,93.92556938,93.78245011,91.17220052,89.58488974,67.39492788,67.98200762,72.99470787,84.74508396,85.61244939,84.80497789,87.89389885,87.29585731,87.74904709,88.87669927,89.0009852,88.50970947,90.49292978,91.07144944,92.31931424,92.60429081,91.65263533,93.99664295,91.94780332,92.50400217,77.52204497,85.96301380912915
16,"Bahamas, The",BHS,95.61863185,95.30931291,95.28447313,94.86146409999999,94.6243203,93.09691962,92.16835137,92.38222568,91.2963115,92.24416123,91.6224497,91.230334,92.02802138,92.19085063,93.5856553,92.67264293,92.58393391,92.34180176,93.18677185,91.77907181,91.99553597,91.3924706,91.04727046,90.67204031,92.44037502,89.67182917323275
17,Bosnia and Herzegovina,BIH,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
18,Belarus,BLR,67.20305862,66.51871394,69.20822225,68.57968935,71.49556907,74.22273214,76.49405639,78.34940725,78.77728042,78.13399150000001,82.55108852,77.19835064,80.86023884,81.99133613,81.62470717,83.27413782,85.95852752,82.04786586,82.60450095,80.95941748,82.32042868,82.99562133,83.52557303,84.18089928,84.15328999,82.99087817992977
19,Belize,BLZ,51.21583027,51.95474511,52.684385879999994,53.264249969999995,53.26672895,54.60825221,56.267433929999996,56.68118402,57.34050813999999,57.28867438999999,58.23206392,58.94968977,57.15399761,54.64132844000001,54.6982243,54.25232116,53.42289188,52.66064026,52.56946061,51.31850799,53.487902840000004,54.56870942,56.54889227,58.018082250000006,59.10753264,59.584273754428125
20,Bolivia,BOL,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
21,Brazil,BRA,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
22,Barbados,BRB,64.83448563,62.16777964,65.3100088,63.967039420000006,61.95490732999999,63.05320083,60.17227446999999,60.63283850999999,63.70149532,64.85003416,65.11338653,64.78363320000001,65.37722141,64.14482681,65.6905938,66.83188661,66.82997336,66.00371814,66.6560959,63.05156961,64.83608167,62.26252518,65.78999287,68.82603295,74.68798407,70.27803505500157
23,Bhutan,BTN,73.60549156,72.29038202,73.43636302,72.57768592,71.6982666,72.52018144,73.23708495,74.73610579999999,75.88275618,75.63775473,76.10257181,76.15495344,75.16336686,76.54703877,75.19713565,75.74513789,74.56307191,74.73558379,75.07600268,75.06600051,75.38539269,74.69174698,74.43947915,73.17351572,73.19287432,74.08906202
24,Botswana,BWA,58.475357360000004,58.67384013,58.75908141,57.536451469999996,57.52886307,55.90274102,56.14527062,57.207468520000006,56.88829482,55.80758728,54.35917144,56.01906198,54.45185282,53.7761111,53.96556489,55.46078234,53.83805101,51.49093203,52.51119511,53.238077679999996,51.55355017,50.38877908,50.91662817,52.10555859,48.74185988,50.16822547999999
25,Central African Republic,CAF,72.15647687,68.03674236,66.35600413,68.074028,69.82379099,70.00781441,72.39165888,74.6555643,75.52716036,77.1642196,74.51149695,73.10697125,73.20071836,74.56344116,75.18353618,74.24470723,74.00914851,76.02644649999999,75.18426695,73.47402668,77.60667223,76.67911718,70.03944215,68.64980209,73.25054383,74.64721226
26,Canada,CAN,75.70916065,74.8319676,75.43198361,76.46878729,77.04504013,78.42785838,78.98587561,78.93511417,78.99403588,79.4000084,79.84135584,80.19740227,81.20212523,83.22975774,84.79645465,85.872736,86.82834222,87.40785733,87.22405182,87.63569469,88.25519867,88.89836293,88.41916221,88.23749257,87.67043077,86.71922809186098
27,Switzerland,CHE,23.70435049,23.32147422,27.59821797,28.553169390000004,28.24525708,25.15002986,32.01815313,32.10809865,30.826919390000004,40.89197809,37.13014926,34.29839715,37.84871563,32.50144051,24.930573300000002,25.391256719999998,21.44916428,24.25328525,24.61665796,22.71780363,23.23150743,20.86776164,24.680154079999998,26.658121500000004,26.49233002,30.879400202825508
28,Chile,CHL,18.710521300000003,17.38854825,16.11054363,16.65420131,16.90453879,16.07419445,15.68953898,16.15444972,16.36026926,14.651790900000002,16.30728639,15.522658079999996,15.81143353,16.64589756,16.68841249,15.333991160000002,17.04219421,28.885158259999997,27.621780470000004,30.892904819999995,31.16396337,29.73959214,35.27203752,35.7817563,38.31785719,40.32951617273182
29,China,CHN,11.1623528,8.779668507,7.866010165,7.351352329000001,4.710080753,5.493197164,5.815207924,4.766045299,4.125985415,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,2.112644231,2.5463496119999998,2.678500494,2.8737596410000004,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
