,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,ALB,15.5809,11.2179,10.410299999999998,11.4097,12.3567,14.0002,15.274400000000002,13.619,14.8459,16.8503,17.9666,19.3931,20.2137,21.374,22.5866,23.8874,25.1848,26.672,28.6821,29.6441,30.743,31.5255,31.9724,32.2928,32.8658,33.595,34.7086,36.0283,37.4951,38.3101,37.0416
1,Algeria,DZA,231.43400000000003,228.657,232.773,227.885,225.834,234.415,244.026,246.711,259.293,267.59,277.759,286.092,302.113,323.865,337.791,357.721,363.802,376.171,385.199,391.363,405.452,417.21,431.3949999999999,443.474,460.326,477.358,492.633,499.038,506.024,510.072,474.136
2,Angola,AGO,62.5656,63.1859,59.4969,45.227500000000006,45.83330000000001,52.7082,59.8472,64.2007,67.2124,68.6787,70.7766,73.7534,83.8323,86.3388,95.7954,110.192,122.917,140.138,155.786,157.123,164.043,169.739,184.238,193.366,202.691,204.604,199.325,199.03199999999998,195.044,193.82600000000002,185.994
3,Antigua and Barbuda,ATG,1.1650700000000003,1.19043,1.20422,1.2678099999999999,1.3524499999999997,1.2934900000000003,1.3789199999999997,1.45437,1.52318,1.57965,1.67764,1.60134,1.6178,1.7161,1.81507,1.93258,2.17817,2.38108,2.38073,2.09593,1.9316,1.89377,1.95764,1.9458799999999998,2.01974,2.097,2.21229,2.28188,2.45049,2.53282,2.01928
4,Argentina,ARG,405.4487,448.3389,491.409,514.864,544.914,529.409,558.667,603.981,627.236,606.002,601.221,574.714,512.102,557.356,583.43,635.073,686.179,747.987,778.335,732.269,806.414,854.831,846.057,866.407,844.638,867.7070000000001,849.6549999999999,873.602,850.7360000000001,833.501,751.024
5,Armenia,ARM,7.314771073457264,7.345457230103595,8.17452,7.45428,7.85138,8.39244,8.88759,9.18275,9.85678,10.1776,10.7777,11.8077,13.5848,15.4922,17.1139,19.4868,22.0587,25.0916,26.8349,23.0378,23.5481,24.6432,26.409,27.2805,28.2626,29.167,29.2253,31.417199999999998,33.0509,35.5628,32.86
6,Australia,AUS,514.698,509.546,522.596,542.978,569.582,585.746,610.121,637.988,668.034,697.808,718.91,737.698,768.213,789.57,822.123,847.007,869.924,908.434,932.676,950.189,972.623,1000.309,1038.276,1060.429,1087.701,1112.991,1143.365,1171.02,1204.367,1227.39,1198.533
7,Austria,AUT,268.6745,277.5955,283.0232,285.31,292.2751,302.0085,308.9685,315.8081,326.7297,337.7718,350.2023,354.5009,360.6357,364.2002,373.2541,382.3003,395.9394,410.583,416.721,401.0261,407.943,420.655,423.77700000000004,423.633,427.075,431.08,439.639,450.015,461.034,467.803,435.865
8,Azerbaijan,AZE,32.1440092794271,32.14767058669503,42.8995,32.9895,26.5055,23.3778,23.6817,25.0553,27.560800000000004,29.6003,32.8859,36.1416,39.5151,43.5319,47.5681,60.6273,81.5664,102.288,113.041,123.386,129.582,127.875,130.732,138.304,142.249,144.146,139.781,140.02,142.091,145.705,140.133
9,Bahrain,BHR,18.141,20.152200000000004,21.5232,24.3172,24.2533,25.1588,26.189099999999996,27.0232,28.33,29.534199999999995,31.1057,31.8805,32.948,35.0226,37.4675,40.0037,42.5907,46.1231,49.0021,50.247,52.4261,53.466,55.4593,58.4634,61.0068,62.523,64.7476,67.5264,68.9688,70.4285,66.8741
10,Bangladesh,BGD,162.147,167.559,176.005,184.047,191.575,201.006,210.301,219.743,231.119,241.913,254.71800000000002,267.651,277.91,291.082,306.334,326.355,348.13,372.702,395.116,415.05,438.176,466.501,496.9239999999999,526.807,558.737,595.349,637.699,684.152,737.951,798.113,839.936
11,Barbados,BRB,3.65984,3.51663,3.2709999999999995,3.31097,3.4362799999999996,3.5058000000000002,3.6448500000000004,3.817629999999999,3.96042,3.97333,4.15026,4.05201,4.08407,4.17274,4.23144,4.39922,4.64859,4.75095,4.7841,4.54127,4.4374,4.40752,4.3877,4.32577,4.3203,4.426,4.536,4.55766,4.53109,4.52673,3.76844
12,Belarus,BLR,25.0682940956735,25.07965681268663,8.99849,8.34777,64.9134,58.15460000000001,59.7837,66.5986,72.1936,74.6485,78.9782,82.71,86.883,93.0023,103.651,113.436,124.778,135.568,149.461,149.705,161.335,170.626,173.569,175.241,178.006,171.20400000000004,166.865,170.95,176.402,178.892,177.174
13,Belgium,BEL,328.23599999999993,334.1465,338.59580000000005,336.2506000000001,347.31890000000004,357.8923,362.6059,376.363,383.7498,397.3438,412.142,416.646,423.754,428.153,443.44,453.757,465.343,482.431,484.577,474.8,488.399,496.675,500.347,502.644,510.581,521.003,527.601,536.157,545.742,555.483,520.578
14,Belize,BLZ,0.895888,0.9989860000000002,1.1193000000000002,1.18943,1.1921299999999997,1.19995,1.2169499999999998,1.26052,1.30747,1.41914,1.59118,1.68285,1.76245,1.9269600000000002,2.01921,2.05843,2.15773,2.16875,2.24448,2.22226,2.31693,2.36146,2.41846,2.44995,2.54886,2.6160000000000005,2.61513,2.66256,2.74003,2.78824,2.39858
15,Benin,BEN,10.6119,11.0603,11.3874,12.052,12.2955,13.0388,13.6026,14.3827,14.952400000000003,15.7511,16.6737,17.563,18.3784,19.0113,19.8534,20.1935,20.9899,22.2465,23.3358,23.877,24.3818,25.1044,26.3122,28.2044,29.9976,30.531,31.5506,33.34,35.5729,38.0152,38.6186
16,Bhutan,BTN,1.32677,1.32136,1.38216,1.40961,1.47941,1.58406,1.67222,1.76208,1.86629,2.0153,2.15502,2.33494,2.5916,2.79435,2.96225,3.17812,3.40058,4.02496,4.21813,4.50279,5.04068,5.44306,5.72166,5.84296,6.18048,6.591000000000001,7.12665,7.45817,7.686029999999999,8.10603,8.05907
17,Bolivia,BOL,28.1372,29.619,30.1067,31.391999999999996,32.8572,34.3944,35.8944,37.6727,39.5674,39.7363,40.7328,41.4187,42.4481,43.5991,45.4186,47.4267,49.7018,51.9704,55.1658,57.0177,59.3707,62.4604,65.6597,70.122,73.9511,77.54300000000002,80.8493,84.2411,87.7992,89.7455,82.5937
18,Bosnia and Herzegovina,BIH,6.755449530303627,6.786744468433001,7.086320000000001,6.93175,7.70339,9.30569,14.3493,19.6071,22.865,25.1515,26.5349,27.454,28.7626,30.097900000000003,31.585900000000002,32.8077,35.4638,37.9156,39.4234,38.0795,37.7564,38.458,38.4486,39.142900000000004,39.5725,41.195,42.7338,44.36260000000001,45.8209,47.0832,44.9411
19,Botswana,BWA,11.72083,12.59506,12.96246,13.21085,13.26243,14.11466,14.884489999999998,16.01922,16.08572,17.62589,17.86564,17.86753,18.98207,20.43362,20.98727,21.95139,23.80554,25.76856,27.36544,25.26183,27.42,29.07527,30.37192,33.82078,34.94462,32.94069,35.26213,36.67702,38.13724,39.28335,35.96954
20,Brazil,BRA,1532.761,1548.759,1540.1590000000003,1615.781,1710.1179999999997,1782.4889999999998,1816.554,1884.114,1890.7380000000003,1899.726,1981.0259999999998,2011.055,2071.791,2095.893,2209.525,2289.696,2380.382,2522.091,2642.523,2646.733,2846.751,2963.508,3011.121,3107.741,3124.018,3013.564,2907.991,2955.175,3004.5630000000006,3046.8509999999997,2913.882
21,Bulgaria,BGR,80.6617,73.8621,68.5372,67.5733,68.82391,85.4989,91.2229,78.02941,81.475,74.7656,78.0257,81.05241,85.7724,90.208,96.1133,102.8824,109.8283,117.369,124.3607,120.0202,120.6291,123.639,123.92189999999998,124.1796,126.6962,131.6939,136.7383,141.5249,146.0906,151.3371,145.5401
22,Burkina Faso,BFA,8.06562,8.79749,8.81754,9.12332,9.24291,9.77141,10.8477,11.5329,12.375699999999998,13.148300000000003,13.3966,14.282599999999999,14.9043,16.0672,16.7868,18.2409,19.3815,20.1783,21.3487,21.981,23.8376,25.4163,27.0563,28.6235,29.862,31.033,32.8819,34.9218,37.2724,39.3968,39.1561
23,Burundi,BDI,5.79335,6.151020000000001,6.23973,5.81431,5.62345,5.17107,4.7474,4.76272,4.99693,5.05205,5.14591,5.22011,5.35272,5.48038,5.68333,5.93414,6.25701,6.47584,6.78651,7.04637,7.407,7.70315,8.04524,8.52903,8.89456,8.551,8.49979,8.54422,8.68695,8.84175,8.8683
24,Cabo Verde,CPV,0.913522,0.926372,0.9545660000000001,1.02438,1.09534,1.17738,1.25623,1.35219,1.46595,1.63984,1.75899,1.8669400000000003,1.96556,2.05762,2.14568,2.2856,2.5174,2.73514,2.91703,2.87997,2.92221,3.03819,3.07106,3.095720000000001,3.11464,3.146,3.2940399999999994,3.41599,3.57077,3.77316,3.2166000000000006
25,Cambodia,KHM,14.0312,15.0957,16.157,16.8181,10.9638,12.0498,12.760300000000003,13.2715,13.8927,15.6575,17.3354,18.6256,19.851,21.5399,23.7669,26.916,29.8156,32.8608,35.0596,35.089,37.1814,39.8108,42.7006,45.895,49.1407,52.59799999999999,56.2179,60.14119999999999,64.6331,69.1922,67.0504
26,Cameroon,CMR,35.7912,34.4281,33.3608,30.7146,31.367,32.4553,33.8707,35.6426,37.2473,38.846,40.227,41.9835,43.7627,45.761,48.8643,49.8513,51.5752,54.1039,55.9916,57.2225,59.1807,61.6246,64.424,67.906,71.9015,75.965,79.3422,82.3175,85.6088,88.9149,89.4368
27,Canada,CAN,899.607,880.839,888.77,912.419,953.4259999999999,979.112,994.965,1037.55,1077.975,1133.63,1192.326,1213.666,1250.297,1272.819,1312.113,1354.155,1389.827,1418.622,1432.869,1390.944,1433.923,1479.036,1505.08,1540.137,1584.338,1594.783,1610.753,1659.717,1700.04,1731.686,1639.6820000000002
28,Central African Republic,CAF,3.39193,3.43195,3.38628,3.37448,3.54916,3.7320499999999996,3.4503400000000006,3.66153,3.82823,4.05555,4.1335,4.15956,4.13418,3.8426499999999995,3.94903,4.04308,4.23529,4.40602,4.52115,4.64829,4.86354,5.06755,5.32365,3.3862700000000006,3.3890099999999994,3.536,3.70397,3.87166,4.01837,4.13773,4.12511
29,Chad,TCD,6.10792,6.74326,6.90456,6.76136,7.13283,7.077549999999999,7.22724,7.6358,8.16664,8.11086,8.03948,8.97673,9.73894,11.1727,14.930000000000001,16.1708,16.2756,16.8081,17.323,18.04,20.493,20.5176,22.3246,23.609,25.2363,25.683,24.2555,23.6783,24.223600000000005,24.9406,24.7194
30,Chile,CHL,117.7003,126.9165,142.2014,152.0369,160.6783,177.9229,189.36629999999997,203.2908,212.3567,211.25970000000004,222.5512,229.9186,237.05160000000004,246.78039999999996,264.5005,279.8254,297.5127,312.1349,323.1313,318.159,336.8215,357.0978,376.4778,391.8617,398.6174,407.618,414.22900000000004,420.055,435.871,439.698,413.36560000000003
31,China,CHN,1662.529,1817.143,2076.555,2364.878,2673.051,2966.334,3260.751,3562.32,3842.187,4137.41,4487.904,4861.4,5304.5,5836.38,6426.61,7158.53,8068.159999999999,9217.35,10101.83,11055.25,12228.84,13396.95,14448.45,15571.31,16722.22,17895.86,19121.76,20444.71,21822.110000000004,23128.31,23663.410000000003
32,Colombia,COL,259.78,266.865,278.105,293.98,306.738,322.696,329.33,340.628,342.568,328.167,338.492,344.172,352.79,366.613,386.164,403.337,430.428,459.431,474.517,479.924,501.496,536.34,557.325,585.938,612.298,630.399,643.558,652.305,669.032,690.984,644.026
33,Comoros,COM,1.1538900000000003,1.09163,1.1847600000000003,1.22038,1.1559799999999998,1.19771,1.18224,1.22989,1.24566,1.26963,1.40736,1.44019,1.4736800000000003,1.50468,1.53357,1.57708,1.61883,1.63178,1.69705,1.7513599999999998,1.81791,1.8924399999999997,1.953,2.04088,2.08374,2.107,2.17697,2.26003,2.33757,2.3840000000000003,2.38895
34,Congo-Brazzaville,COG,10.1739,10.4176,10.6897,10.585,10.0035,10.4022,11.0671,10.7974,11.1859,10.8949,11.72,12.1665,12.724,12.8268,13.2848,14.3006,16.1664,15.0972,16.0493,17.917,19.6964,20.1308,22.1333,21.975599999999996,23.2843,22.531,20.235000000000003,19.2975,18.1003,17.937,16.1482
35,Congo-Kinshasa,COD,53.53660000000001,49.0282,43.8803,37.97,36.4892,36.7446,36.3686,34.3258,33.7683,32.3263,30.092299999999998,29.460300000000004,30.328700000000005,32.0204,34.1781,36.2749,38.2051,40.5966,43.1241,44.3553,47.5081,50.7741,54.3724,58.9842,64.5702,69.036,70.6924,73.3271,77.5956,80.9978,78.7206
36,Costa Rica,CRI,27.4765,28.2913,30.894400000000005,33.0871,34.5823,36.0188,36.5052,38.5043,41.2594,42.9984,44.6619,46.2211,47.8005,49.8641,52.0704,54.141,58.1078,62.8814,65.8609,65.2856,68.7851,71.8138,75.3202,77.1993,79.9338,82.853,86.3364,89.926,91.7751,93.76469999999999,89.9273
37,Croatia,HRV,56.027163343889484,56.00482954667941,61.9542,56.9979,60.3608,64.9675,68.8219,73.1016,74.814,74.1164,76.2342,78.4532,82.8664,87.51711,91.1566,95.0383,99.7788,104.794,106.7393,98.93059,97.65991,97.5114,95.2495,94.83209,94.4954,96.716,100.1602,103.5879,106.5126,109.61589999999998,101.1643
38,Cyprus,CYP,14.830913601280654,14.853418974528154,15.361615030279488,15.790505804795368,16.421158987636193,17.2404,17.4555,17.9165,19.0117,19.9617,21.1526,21.9884,22.807,23.4056,24.5817,25.7748,26.99,28.3655,29.4005,28.8077,29.3879,29.5062,28.4889,26.622,26.1352,26.976,28.7128,30.1933,31.7755,32.7529,31.081300000000002
39,Czech Republic,CZE,191.13174280163267,190.9623573357451,197.67443830516632,203.3416,207.8545,220.2759,229.4429,228.1964,227.4063,230.1756,240.19940000000003,247.4777,251.15450000000004,260.1456,272.2445,290.4298,310.6352,327.8946,336.1202,320.9695,328.2586,334.0397,331.6856,331.5405,339.0393,357.5844,366.3055,385.9897,398.2624,410.036,386.22980000000007
40,Côte d’Ivoire,CIV,56.5244,56.5475,56.40919999999999,56.3007,56.7574,60.8018,65.5013,67.9534,71.304,72.4573,70.9586,71.0447,69.86,68.9102,69.759,70.9597,72.0354,73.3068,75.1709,77.6151,79.181,75.7072,83.8128,91.2632,99.289,108.069,115.827,124.352,132.92,141.203,143.768
41,Denmark,DNK,186.23020000000002,188.66059999999996,192.3527,192.3735,202.6316,208.7664,214.8209,221.8261,226.7465,233.43079999999998,242.1775,244.1707,245.3096,246.26630000000003,252.83739999999997,258.7452,268.8698,271.3145,269.9255,256.6813,261.4838,264.9794,265.5794,268.0582,272.3992,278.7804,287.8294,295.9512,301.8393,308.2221,301.8662
42,Djibouti,DJI,2.7422899999999997,2.62008,2.6348,2.45693,2.42351,2.33915,2.25184,2.22447,2.22701,2.29201,2.30836,2.34975,2.42575,2.5030499999999996,2.57259,2.65263,2.78063,2.92011,3.08964,3.13959,3.26979,3.50825,3.67812,3.86206,4.13478,4.452999999999999,4.74924,5.00585,5.4267199999999995,5.84841,5.87765
