,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Albania,ALB,3286.07,3280.4,3245.89,3195.2,3146.52,3112.92,3098.7,3099.75,3110.7,3122.7,3129.25,3129.7,3126.18,3118.02,3104.89,3086.81,3063.02,3033.99,3002.68,2973.04,2948.03,2928.6,2914.09,2903.79,2896.31,2890.52,2886.43,2884.17,2882.05,2879.92
1,Algeria,DZA,25758.9,26400.5,27028.3,27635.5,28213.8,28757.8,29266.4,29743,30192.8,30623.4,31042.2,31451.5,31855.1,32264.2,32692.2,33149.7,33641,34167,34730.6,35333.9,35977.4,36661.4,37383.9,38140.1,38923.7,39728,40551.4,41389.2,42209.8,43030.4
2,Angola,AGO,11848.4,12248.9,12657.4,13075,13503.8,13945.2,14400.7,14871.6,15359.6,15866.9,16395.5,16945.8,17519.4,18121.5,18758.1,19433.6,20149.9,20905.4,21695.6,22514.3,23356.2,24220.7,25107.9,26015.8,26941.8,27884.4,28842.5,29816.8,30833.3,31849.8
3,Antigua and Barbuda,ATG,62.533,63.7608,64.9886,66.2164,67.4442,68.672,70.139,71.606,73.073,74.54,76.007,77.098,78.189,79.28,80.371,81.462,82.7756,84.0892,85.4028,86.7164,88.03,89.1382,90.2464,91.3546,92.4628,93.571,94.4424,95.3138,96.1852,97.0566
4,Argentina,ARG,32675.95,33131.9,33579.75,34020.12,34453.77,34880.85,35299.2,35709,36113.68,36516.9,36921.7,37327.62,37732.75,38137.02,38540.62,38942.95,39341.35,39736.48,40132.93,40535.52,40948.95,41375.93,41813.05,42254.68,42694.98,43129.3,43559.05,43987.2,44412.27,44832.7
5,Armenia,ARM,--,--,3442.82,3363.11,3283.66,3217.35,3168.21,3133.08,3108.69,3089.02,3069.6,3050.69,3033.98,3017.94,3000.72,2981.26,2958.3,2932.61,2907.61,2888.09,2877.31,2876.54,2884.24,2897.59,2912.4,2925.56,2936.15,2944.79,2950.94,2957.09
6,Australia,AUS,17092.82,17309.1,17497.62,17655.47,17827.45,18029.93,18246.45,18442.8,18630.45,18836.07,19057.72,19299.15,19521.48,19744.05,19960.65,20206.75,20495.62,20877.3,21303.9,21730.75,22065.65,22387.15,22780.32,23168.3,23514.83,23859.35,24238.52,24644.28,25027.17,25408.4
7,Austria,AUT,7686.107,7765.895,7851.16,7911.413,7937.96,7949.475,7960.505,7968.811,7978.205,7994.788,8013.915,8047.63,8086.537,8126.71,8179.315,8234.445,8272.225,8298.615,8324.873,8345.4,8366.34,8395.76,8435.458,8486.812,8556,8657.14,8745.72,8803.744,8845.085,8885.205
8,Azerbaijan,AZE,--,--,7471.92,7581.75,7683.7,7775.42,7855.56,7925.67,7989.9,8054.13,8122.74,8197.29,8277.07,8361.43,8448.94,8538.61,8630.15,8724.24,8821.87,8924.38,9032.46,9146.28,9264.68,9385.47,9505.62,9622.74,9736.04,9845.32,9943.27,10041.2
9,Bahrain,BHR,468.165,481.002,493.839,506.676,519.512,532.349,551.982,599.403,666.093,733.678,630.513,670.533,710.554,764.519,823.744,888.824,960.425,1039.3,1103.5,1178.42,1228.54,1195.02,1208.96,1253.19,1314.56,1370.32,1424.73,1501.12,1503.09,1483.76
10,Bangladesh,BGD,103172,105599,107984,110351,112738,115170,117650,120161,122683,125190,127658,130089,132478,134792,136986,139036,140921,142660,144304,145925,147575,149273,151006,152761,154517,156256,157977,159685,161353,163021
11,Barbados,BRB,260.933,261.912,262.89,263.869,264.893,265.955,267.047,268.183,269.334,270.455,271.511,272.494,273.423,274.331,275.283,276.32,277.475,278.701,279.946,281.107,282.131,282.987,283.698,284.294,284.825,285.327,285.798,286.229,286.61,286.99
12,Belarus,BLR,--,--,10154.3,10135.1,10108.3,10077.6,10044.8,10009.4,9969.99,9924.44,9871.63,9811.4,9745.93,9679.24,9616.63,9562.08,9516.88,9480.51,9452.86,9433.16,9420.58,9415.32,9417.04,9423.5,9431.74,9439.42,9445.64,9450.23,9449.93,9449.62
13,Belgium,BEL,9972.277,10008.86,10050.95,10088.5,10119.35,10138.35,10160,10184,10205.7,10229.6,10254.28,10292.38,10338.53,10381.2,10427.3,10486.8,10557.1,10636,10720.75,10807.35,10940.38,11047.7,11114.7,11164.75,11216.15,11283.43,11336.5,11381.03,11434.15,11497.32
14,Belize,BLZ,187.554,191.136,194.324,197.625,201.679,206.962,213.66,221.575,230.248,238.979,247.31,255.068,262.387,269.428,276.516,283.798,291.338,299.031,306.822,314.655,322.465,330.236,338.001,345.707,353.366,360.926,368.399,375.775,383.057,390.339
15,Benin,BEN,4978.49,5149.5,5331.81,5521.76,5714.21,5905.55,6094.27,6281.64,6470.27,6664.1,6865.95,7076.73,7295.4,7520.56,7750,7982.22,8216.89,8454.79,8696.92,8944.71,9199.25,9460.83,9729.25,10004.6,10286.8,10576,10872.1,11175.2,11491.2,11807.2
16,Bhutan,BTN,530.801,531.567,532.332,533.098,533.863,534.629,545.906,557.183,568.46,579.737,591.014,602.56,614.106,625.652,637.198,648.744,656.096,663.447,670.799,678.15,685.502,693.979,702.455,710.932,719.408,727.885,736.63,745.376,754.121,762.867
17,Bolivia,BOL,6864.84,7011.46,7160.92,7312.86,7466.79,7622.33,7779.27,7937.45,8096.76,8257.07,8418.27,8580.24,8742.82,8905.82,9069.04,9232.3,9395.45,9558.44,9721.46,9884.79,10048.6,10213,10377.7,10542.4,10706.5,10869.7,11031.8,11192.8,11352.9,11513
18,Bosnia and Herzegovina,BIH,--,--,4233.67,4078.94,3936.53,3829.05,3764.42,3736.07,3734.34,3743.35,3751.18,3755.51,3759.39,3762.18,3764.19,3765.33,3765.42,3762.79,3754.26,3735.95,3705.48,3661.17,3604.97,3542.6,3482.11,3429.36,3386.26,3351.53,3327.96,3304.39
19,Botswana,BWA,1286.755,1326.32,1363.54,1399.11,1434.06,1469.172,1504.725,1540.423,1575.825,1610.26,1643.335,1674.675,1704.638,1734.387,1765.533,1799.078,1835.91,1875.458,1915.635,1953.497,1987.11,2015.405,2039.55,2062.552,2088.62,2120.715,2159.925,2205.075,2253.925,2302.775
20,Brazil,BRA,149336,151983.8,154597.8,157188,159766.2,162344.8,164939,167538.7,170115.5,172640.8,175090,177471,179798.2,182065,184263.5,186384,188416,190365.8,192255.5,194108,195941.8,197752.5,199528.2,201272.5,202989,204683.5,206369,208039.8,209673.5,211246.2
21,Bulgaria,BGR,8706.035,8623.143,8526.335,8469.174,8439.547,8400.728,8357.355,8304.85,8250.183,8205.688,8164.995,7974.06,7829.248,7767.785,7709.788,7651.57,7593.935,7538.502,7486.2,7438.772,7389.058,7343.053,7300.555,7260.255,7218.505,7171.94,7121.33,7069.467,7018.79,6969.69
22,Burkina Faso,BFA,8811.03,9050.09,9297.11,9552.47,9816.58,10089.9,10372.7,10665.5,10968.7,11282.7,11608,11944.6,12293.1,12654.6,13030.6,13421.9,13829.2,14252,14689.7,15141.1,15605.2,16081.9,16571.2,17072.8,17586,18110.6,18646.3,19193.2,19763.2,20333.3
23,Burundi,BDI,5438.96,5564.92,5685.57,5798.05,5898.96,5987.04,6060.11,6122.13,6185.56,6267.13,6378.87,6525.55,6704.12,6909.16,7131.69,7364.86,7607.85,7862.23,8126.1,8397.66,8675.61,8958.41,9245.99,9540.3,9844.3,10160,10488,10827,11181.6,11536.2
24,Cabo Verde,CPV,337.953,346.229,355.763,366.057,376.409,386.288,395.533,404.248,412.513,420.456,428.178,435.701,442.955,449.925,456.619,463.034,469.171,475.067,480.846,486.667,492.644,498.858,505.241,511.74,518.276,524.74,531.14,537.499,543.662,549.825
