,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Angola,AGO,72.25525192,71.8886392,72.72328252,71.27705632,72.22026891,73.94588834,73.13960045,73.73441595,76.81979363,73.41078383,73.44110107,72.33730316,70.42099762,65.14040375,61.91569901,68.37830353,62.127300260000005,58.49160004,54.88209915,52.41389847,50.76480103,49.239200589999996,49.44329834,47.93849945,48.2112999,47.81560135,49.008098600000004,56.18050003,56.78549956999999
1,Albania,ALB,25.51808763,32.99817424,46.81332881,51.152042300000005,51.459544220000005,50.60970958,51.63636056,55.95334942,49.98336543999999,42.71831341,41.44499969,39.12530136,35.89580154,33.75170135,35.93470001,36.86830139,31.7098999,32.10039902,35.91189957,37.21519852,37.11370087,35.96110153,40.04669952,41.28699875,38.69739914,38.62559891,39.58729935,37.21979904,38.26639938
2,United Arab Emirates,ARE,0.0,0.0,0.188369133,0.15035617699999998,0.12014534,0.11260448599999999,0.080332347,0.076355659,0.07246992099999999,0.07164855099999999,0.076399997,0.0647,0.066500001,0.066299997,0.10040000100000002,0.10520000000000002,0.117399998,0.112800002,0.11079999800000001,0.10769999800000002,0.109399997,0.109200001,0.10180000199999997,0.102899998,0.13770000599999999,0.12639999400000002,0.123000003,0.17319999600000002,0.259200007
3,Argentina,ARG,8.922907467,8.748184307,9.471649616,10.12834244,10.73490935,11.20518463,10.19385559,10.9990734,11.34300914,10.30617339,9.847999573,11.50889969,11.61909962,10.82460022,9.288700104,9.643500328,9.180100441,7.716599940999999,7.651100158999999,8.590999603,8.787500381000001,8.833100319,8.611800194,8.913399696,9.781399727,9.393199921,9.376899718999999,10.36849976,10.52079964
4,Armenia,ARM,2.1189443409999997,2.309435803,6.677678940999999,12.936833680000001,17.76365341,9.274352707,12.473304369999997,10.12011439,9.380563414,8.358795379,7.162899971,5.418000221000001,8.897299767,9.809300423,8.705699921,6.4893999099999995,7.650800227999999,7.015200137999998,6.403200149999999,7.798299789,9.357099533,8.007200241,6.563799857999999,6.7699999810000016,7.0809001920000005,10.7468996,13.151499749999997,12.56260014,11.13300037
5,Antigua and Barbuda,ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077799998,0.152099997,0.146599993,0.144400001,0.482199997,0.598399997,0.6021999720000001,0.9049000140000002
6,Australia,AUS,8.009577159,8.24547226,7.5164709720000005,8.616993882000001,8.259946779,8.217805712,8.86597056,9.080242836,8.595072694,8.507273787,8.423999786,8.37100029,8.739500046,7.151500225,6.680799961,6.7122998240000005,6.853600025000001,6.952000141,6.7899999620000004,7.148900032,8.163399696,8.318599701,8.294500351,9.215200423999999,9.316900253,9.315500259,9.419799805,9.686100006,9.645000458
7,Austria,AUT,25.13575415,24.49579821,26.136791580000004,26.35780775,25.67945465,25.63008795,24.03687734,24.871050899999997,24.40935442,26.43831079,26.43580055,25.52779961,24.68289948,22.55800056,23.17140007,24.43510056,26.750600810000005,29.02639961,29.75569916,31.28840065,31.134599689999998,31.63780022,34.28430176,34.70259857,35.79090118,34.87720108,34.61429977,33.95909882,33.84560013
8,Azerbaijan,AZE,0.722062718,0.8046463979999999,1.217250557,1.983066048,1.515961004,1.366840065,1.7389026639999998,1.9898487849999997,2.4843813999999997,2.143936114,2.065099955,1.7520999910000001,2.351200104,2.944099903,3.069999933,3.36439991,2.8610000610000004,3.7881999019999992,3.085799932,3.268599987,4.448999882,3.5557999610000004,2.8452999589999997,2.525899887,2.116600037,2.312200069,1.926800013,1.908800006,1.9713000059999999
9,Burundi,BDI,95.20067222,94.23866263,94.99578261,94.90709274,95.11796023,95.11184389,95.18932706,95.24278522,95.26169809,93.74959579,93.22570038,94.84069824,94.64880371,95.75839996,96.04109955,96.01039886,95.30500031,95.29160309,95.14550018,95.1760025,92.57050323,91.65339661,91.44689941,91.07980347,91.35220337,91.16819763,89.54199982,88.14150238,85.52690125
10,Belgium,BEL,1.269461495,1.215081737,1.1943332009999998,0.956473288,0.939572924,1.26038954,1.184407099,1.1484783109999999,1.291956464,1.400650838,1.4437999730000002,1.580500007,1.6813000439999999,1.888700008,2.022000074,2.458800077,2.822299957,3.337899923,3.9052999019999994,4.827300072,5.824800014,6.6300997729999995,7.758999825,8.092900276,9.124799728,9.376099586,9.206899643,9.637999535,10.6626997
11,Benin,BEN,93.70324086,94.96484833,94.85183513,94.98880117,94.97503519,94.77198722,84.14596757,80.62643185,79.56843189,76.9054247,70.2928009,66.85769653,64.04190063,61.7344017,60.69490051,59.19520187,57.30730057000001,54.49060059,54.76210022,52.83240128,47.19290161,48.69639969000001,50.32960129,51.96649933,51.048900599999996,49.943199160000006,45.42409897,45.38010025,43.97230148
