,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Angola,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Albania,ALB,0.22452216,0.204425723,0.06768917,0.00230365,0.001502844,0.0028149409999999996,0.001711157,0.000352537,0.00077061,0.000110313,0.000620564,0.0012771360000000001,0.000274595,0.0008903310000000001,0.006822021,0.003077833,0.002931413,0.004030065,0.013985093999999998,0.000729611,0.001394767,0.000801741,0.00036091599999999997,0.00010803299999999999,0.0,0.005924115,0.00038768,0.015576528999999999,0.033583407999999995,0.024377127999999998
2,United Arab Emirates,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Argentina,ARG,0.000737056,0.000527206,9.9e-05,0.0,0.0,8.99e-05,9.48e-06,0.0,0.0,0.0,0.0,2.8300000000000003e-05,0.0,1.82e-08,0.000555633,0.000123145,0.00066304,0.000868098,0.0030068720000000003,0.00036186199999999996,0.000573381,0.0009104139999999999,0.00057181,0.000378985,0.00021150900000000002,8.63e-05,7e-05,6.92e-05,0.000118583,0.000100897
4,Armenia,ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43e-06,0.0,0.0
5,Antigua and Barbuda,ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Australia,AUS,0.370667297,0.35178832600000004,0.25637284,0.139130487,0.05395395099999999,0.164404928,0.11069900099999999,0.10259543900000001,0.17488108300000002,0.106568031,0.18375102,0.618038501,0.381820365,0.215618765,0.92587914,0.9994739559999999,1.063513707,0.849000165,2.965239463,1.505073329,2.022258471,2.362836144,1.196547658,0.811491124,0.753799867,0.468459288,0.595087742,0.7809703490000001,0.7930724,0.658377181
7,Austria,AUT,0.003581445,0.002741958,0.001213916,0.000125743,0.000124892,0.000502745,0.00022759,0.00010904299999999999,0.000210344,3.76e-05,0.00045490900000000003,0.001454311,0.000525493,0.000378304,0.000657099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Azerbaijan,AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Burundi,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Belgium,BEL,0.002324065,0.00124802,0.000211738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Benin,BEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Burkina Faso,BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
