,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Angola,AGO,0.017794918,0.038150674,0.038504553999999996,0.07132274,0.080748158,0.071745961,0.065392143,0.067655402,0.054341445,0.090321659,0.14405264199999998,0.175657498,0.115982374,0.11844521699999999,0.114388176,0.07667515,0.078568548,0.08851348,0.065972025,0.078853817,0.086285895,0.119800249,0.10760608599999999,0.11362088699999999,0.083417107,0.061566149,0.08518723,0.18603159600000002,0.7775170659999999,0.723079458
1,Albania,ALB,0.31027397100000004,0.26466342600000003,0.224714893,0.041069022999999996,0.021601916000000002,0.017082096,0.016069576000000002,0.015279765,0.00833811,0.0033990609999999997,0.02518337,0.041886791,0.029362374,0.024792635,0.017080227,0.015776796000000003,0.027384624,0.008244537,0.031367856,0.028965022000000003,0.007628596999999999,0.010779468,0.020144141,0.020843742,0.024511123,0.021477653,0.016511267,0.025764667999999998,0.028407602999999997,0.021998532
2,United Arab Emirates,ARE,0.476066725,0.502721082,0.37189183,0.48299889,0.393204909,0.50346522,0.635630399,0.748467852,0.618541209,0.5135326929999999,0.781890841,0.976428139,0.820155402,0.7769324320000001,0.7690125059999999,1.022777399,1.103298526,1.109759152,1.064929985,1.216039835,0.929216539,1.278238233,1.3539205369999998,1.3523471009999999,1.197462912,0.925821345,0.521048015,0.563684709,0.737730496,0.559007733
3,Argentina,ARG,0.161468434,0.130005907,0.095035215,0.111643102,0.09049270400000001,0.100564266,0.120941165,0.125488864,0.11150304800000001,0.162284928,0.259165288,0.281061238,0.725729338,0.622994288,0.558046856,0.611986331,0.656636694,0.545319593,0.49475162100000003,0.539895492,0.350927747,0.41948124700000006,0.453971732,0.442645419,0.34007516299999996,0.193167103,0.13795453800000002,0.174177317,0.37936635799999996,0.34456569299999995
4,Armenia,ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Antigua and Barbuda,ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Australia,AUS,0.15383384,0.105191959,0.08279267,0.108150646,0.14564771099999999,0.149090713,0.17091604100000002,0.153090816,0.11005779199999999,0.14774737400000001,0.251462715,0.26464763399999996,0.234816721,0.260906149,0.263254654,0.27023708399999996,0.301830423,0.297929799,0.293955363,0.37679504399999997,0.30357102199999997,0.338182601,0.341825019,0.32195349300000004,0.434860869,0.6378935020000001,0.576892049,0.693519469,1.339103517,1.202242825
7,Austria,AUT,0.018905325,0.01574003,0.010636878,0.012796963,0.009011703000000001,0.008373047,0.010778178999999999,0.011579418999999999,0.0050835970000000005,0.00437359,0.026795896,0.04806308,0.037495113,0.037054142000000005,0.026685308999999997,0.023157827000000002,0.046378947999999996,0.044163017,0.050582603,0.0478025,0.039515307,0.054051895,0.064287408,0.047223113,0.030282842,0.023113685,0.013048452,0.020404835,0.022722167,0.013363818000000001
8,Azerbaijan,AZE,3.4608596960000004,2.170096924,2.008698517,2.480294728,2.325285628,2.614482936,3.2337777739999995,2.429926399,0.79367644,0.637866456,2.805684051,4.896139959,3.32697496,3.108136528,2.566621862,1.660079796,2.354688473,2.8021959,4.123066457,3.82459163,2.718746653,3.284801107,3.507432536,3.205077223,2.489184103,2.412985101,2.0436633459999998,2.895239165,3.7727374830000002,3.5715486610000005
9,Burundi,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
