Report generated on: 11-03-2021 14:04:32
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","coal and coke CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.1-8-WORL-MMTCD.A","    World","1117.538985","1151.600346","1166.858975","1052.386511","1057.069608","904.191799","1037.883229","1054.597765","1003.746034","887.188523","885.131027","915.20039","895.367315","922.086003","968.730285","1018.939941","1075.146471","1127.040292","1106.890376","1145.758543","1148.256664","1134.441275","1076.124032","1121.253602","1206.273733","1185.238653","1180.732528","1265.646355","1299.544892","1298.097603","1409.790188","7455.9397537543955","7481.9908712035485","7620.273119155877","7830.2390659608445","8182.673071906766","8474.479246901179","8574.200098889854","8912.34809645293","9183.392763685002","9190.366517229599","9108.884389444125","8824.803527829588","8587.186368480025","8579.332702744057","8619.827130004234","8870.658427056742","9067.008972555526","8925.526732755623","8871.27549428122","8915.260862035588","9381.855517687462","9481.375461432353","9729.017336187986","10536.039730797405","11439.945352571596","12210.232049605665","12884.624665918804","13522.228152774262","13766.57572733066","13886.777198469126","15035.601794108785","15850.888007242002","16325.705766833222","16505.5220409219","16392.746654552793","15844.416121415643","14956.56224907839","15365.386070097986","15783.059179128348","15953.2964786473"
"INTL.1-8-AFG-MMTCD.A","        Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2313138584444692","0.24297674547176684","0.2818530296847648","0.2818530296847648","0.28768446438142214","0.2935159167120624","0.31101023843601744","0.32461693702886757","0.26824633109191465","0.24686436860287178","0.20410046125876896","0.18271851640370898","0.015550510158402586","0.013606698592850122","0.011662887027297657","0.009719075461745191","0.005831434696657394","0.0038876231311049296","0.0038876231311049296","0.0019438115655524648","0.0019438115655524648","0.050539171240295555","0.040820095778550364","0.06803349296425061","0.06608968139869814","0.06414585219916281","0.06803349296425061","0.4723467923506836","0.6745034420439001","0.9719069818870674","1.409265130789841","2.8768411170176478","2.410326341285056","2.61831417879917","2.94953966956931","2.6533027869791144","3.300592038308085","4.25889114012545","4.752619277775776","4.157812938716722"
"INTL.1-8-ALB-MMTCD.A","        Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.379753098919158","2.5220151238087323","2.8387607890497923","3.0703312922126327","3.3157548954572644","3.533472300393471","3.4772349211892024","3.6392864863609695","3.658262642313658","3.624401110371459","3.130702975677201","1.7798171919233805","0.5023715125149439","0.33217651314596564","0.2698347963492977","0.20507288667137238","0.1613095783693886","0.11902266282299423","0.072893643184318","0.08756395834625731","0.1061991291589934","0.12050317736467527","0.09164902827792647","0.09189605620346715","0.08721592695472927","0.07917794677681964","0.15348832144569313","0.22199633124741036","0.2694819378687711","0.36690699987268427","0.32997327378360214","0.30933648801027264","0.27731551776351104","0.2467157108686455","0.3115977020617652","0.2641770030799899","0.20566711837122503","0.20471895151274705","0.20428006394231896","0.2345324350440709"
"INTL.1-8-DZA-MMTCD.A","        Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.237672237362358","0.714217515132653","1.9103921965168353","3.098849772551452","3.1941929688484145","3.1947908938975","3.2291326584954003","3.272900408508922","3.3293181510061522","3.3699629690925015","3.136276186336495","2.8988870146652372","2.687475377076457","2.1107678078482515","2.150592493381486","1.2844319320923743","1.4431295561997366","1.5370154480326272","1.7045100918305958","1.6895217443985149","1.6438877112332413","1.6712003672664604","1.080030514972979","1.147744565526467","1.1657894477239945","1.2514522634862215","0.9704014796178339","1.1245624194500456","1.1530319361988526","1.1596179417871089","1.0998774436506722","1.4079356144051138","1.3887992445235853","0.9822674996421996","0.8337871136914249","0.513684727478933","0.39696490128164547","0.4101888764506955","0.23264744689886027","0.3523346929650614"
"INTL.1-8-ASM-MMTCD.A","        American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.1-8-AGO-MMTCD.A","        Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.1-8-ATA-MMTCD.A","        Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.1-8-ATG-MMTCD.A","        Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.1-8-ARG-MMTCD.A","        Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.391599689852559","3.0309036856570266","3.1272422258991655","2.809768820712236","2.178012720151835","2.6129712097958495","3.4008085880754493","3.5765656647819513","3.6436568162205147","3.762741644504662","3.373197091991671","2.9033674707330985","2.9067754614336154","2.6717194971441094","3.631131263845445","3.2782618741668146","3.0423406889392477","2.9079468039345664","2.9094844447441686","3.012014386290295","2.6938266192748777","2.1690747679792723","1.9529239675501666","2.2954222741132373","3.1335023358742435","3.811615740788358","3.5532465501135575","3.709767365875138","4.221444526926133","3.958460445647715","3.664643535025859","3.9376084238093667","4.320512129060256","4.3579233623068525","4.120341975645265","3.856025041080181","3.7252909746798535","3.6567264015481706","3.053126190630608","1.9742900662746625"
