Report generated on: 11-03-2021 14:09:38,,,,,petroleum and other liquids CO2 emissions (MMtonnes CO2),,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,9719.141388,9822.578035,9865.384274,9879.82392,10089.1509,10249.54071,10448.24268,10698.28986,10756.99545,10964.20868,11077.74379,11136.73512,11245.76268,11470.57699,11868.24115,12059.68109,12133.93196,11809.75012,12069.07988,11943.72772,12293.06672,12422.52777,12619.78852,12748.28517,12867.8099,13124.07133,13294.20811,13447.61986,13493.6274,7468.881629
        Afghanistan,2,1.9,1.1,1,1,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.6,0.609637601,0.7,5.2,6.106799808,7.904472453,7.028628913,4.989296713,3.941469027,4.912399562,3.654527768,3.302956852,3.204096052,
        Albania,3.2,2.7,3.2,2.5,2,2.2,1.8,1.8,2.2,2.8,3.1,3.4,3.6,4.1,4.2,4.5,4.4,2.931691361,4.2,2.6,3.324997882,3.428806533,3.084717014,3.575098629,3.672343193,3.584554,3.816463,4.186072188,3.74718581,
        Algeria,24,25,26,25,25,25,24,23,25,24,25,26,28,28,30,31,31,33.51901482,0,41,42.9051,45.654043,49.303305,52.176213,53.048467,59.268298,57.660778,55.136495,56.5947672,
        American Samoa,0.577441663,0.577441663,0.594548215,0.578368968,0.562878486,0.547388003,0.548879294,0.562878486,0.562878486,0.562878562,0.550420816,0.550420816,0.559929816,0.559929816,0.559929816,0.59155027,0.601936254,0.601936254,0.603585394,0.601936254,0.601936254,0.35542766,0.356401475,0.35542766,0.35542766,0.35542766,0.355427692,0.35542766,0.35542766,
        Angola,3.8,3.9,4.1,4,3.9,4.2,4,4.6,3.7,4.6,4.3,6.3,6.6,7,7.1,7.2,8.1,8.8,9.5,11,14.994773,15.824531,16.888822,19.313511,21.290396,21.394483,22.294072,19.676979,19.524073,
        Antarctica,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.014352207,0.014382064,0.01434261,0.014342885,0.014228501,0.01422098,0.013782287,0.013782287,
        Antigua and Barbuda,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.690569119,0.7,0.7,0.7,0.690076094,0.707217069,0.705863443,0.719317413,0.751413,0.762758,0.7159054,0.7348894,
        Argentina,57,58,59,67,61,59,64,67,71,73,70,64,58,63,63,69,71,68.16655186,78,80,98,96.03284994,100.3141954,100.9449954,101.0262161,118.285955,115.573158,95.44094293,90.16178809,
        Armenia,--,--,7.1,3.9,2.8,3.9,4.5,4.9,5.1,5.2,5.6,5.8,6.1,6.2,6.4,6.9,6.9,7.11914633,7.3,7,1.236825608,1.170579003,1.17819559,1.077722737,1.076822704,1.001925,1.038209,1.142606,1.102585,
        Aruba,0.6,0.6,0.7,0.7,0.8,0.9,0.6,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1.024105112,1.1,1,1.1,0.991091715,1.259022487,1.19798201,1.213408516,1.221647,1.201636,1.251577,1.20493081,
