Report generated on: 11-03-2021 14:22:01
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","energy consumption per GDP (1000 Btu/2015$ GDP PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-34-WORL-TBTUUSDPP.A","    World","10.589031040020625","10.136013808183995","10.097664247819974","9.955717045712307","9.919301191628433","9.808010240246208","9.678539859517059","9.605665242069149","8.228692501142486","7.992745681317372","7.198274611954479","7.070502364150923","6.93020595126399","6.837217055526445","6.713905039443156","6.682471322994348","6.603946298639195","6.368210986496394","6.256412821710216","6.164066856591106","6.072052946297954","5.976858331569983","5.9404598991568225","5.931904363481406","5.937390429019988","5.85869094053539","5.74421816914937","5.609014278552185","5.52745124708628","5.513072313386909","5.584180785556253","5.51508565721695","5.452446456810235","5.3682635105040895","5.236136523146307","5.071284087108072","4.914669868471231","4.866408748474029","4.832093723020352",""
"INTL.47-34-AFG-TBTUUSDPP.A","        Afghanistan","0","0","0","0","0","0","0","0","2.950051762290066","3.130846506409475","3.2317740819506073","1.5579200372739903","1.0422530370559475","1.2800499866655324","1.6097000523428913","1.0391699776555827","0.984068188815121","0.9881863826722646","1.008927042212406","1.0590248934510633","0.9804742420128337","0.819485505183291","0.5236919781438099","0.5318153238163065","0.47758302598950203","0.5682462628349434","0.6588490027375882","0.6962976153241746","1.202966444273687","1.7676988941715377","2.0880046335105047","2.6571523682796547","2.219950979663083","1.7557178493877208","1.5639472279909785","1.752666485614935","1.6052313841192931","1.6616760648006836","1.670275089016039",""
"INTL.47-34-ALB-TBTUUSDPP.A","        Albania","0","0","0","0","0","0","0","0","10.746623032572172","9.305409440898575","7.370904537921238","8.586606182528097","8.087301841281892","6.4711127218482325","5.679365909786116","5.539183981463216","5.5872981499111445","5.723377171228958","5.647519863142863","4.4780350718734185","5.456644882203154","4.791567243224339","4.979270684673063","5.311237208035871","5.319534429052682","5.001445973278387","4.466561334645669","3.6302149692025822","3.6867894616787664","3.881746242294723","4.116545923392207","3.375250969570743","3.252226961946026","3.9349024446446","3.5251882759799122","3.461744379682767","3.7341182820896144","3.4330799837756008","3.7082718091559825",""
"INTL.47-34-DZA-TBTUUSDPP.A","        Algeria","0","0","0","0","0","0","0","0","5.516159736364714","5.11887059121752","5.261433985975896","5.92163015028209","5.592648430728033","5.253483949190807","5.460441181670473","5.5002489412991835","5.178414979199413","4.87912123745318","4.82388397866476","4.656737638791695","4.587217370153358","4.4586316348425745","4.327700441247297","4.085410215233498","3.834944976814923","4.166560557551072","4.287191755464622","4.119791892478585","4.354684498560015","4.55874822603915","4.384638383621488","4.645119421449221","4.863765516482447","4.5945999033474845","4.996239397207005","4.926663493165702","4.742174993921836","4.731505216148904","4.970712386668712",""
"INTL.47-34-ASM-TBTUUSDPP.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.500606245136204","15.118238349146127","15.561155488281251","16.82600666003975","17.352732862903224","16.5518375","15.32954920071048","12.694624631268436","14.942631076388889","8.55663570706834","7.647462163101281","7.662260367951991","7.650325382955182","7.430419196406959","7.55362792113497","8.158652650861525","7.71650675443182",""
"INTL.47-34-AGO-TBTUUSDPP.A","        Angola","0","0","0","0","0","0","0","0","1.1963888270502345","1.1571287690216092","1.2724026329281874","1.3205653793013947","1.423069814561767","1.8378897971366979","1.7694963159973207","1.6504930788757726","1.39708658717534","1.4628572484412163","1.2576203111330648","1.3737706566955985","1.564321622979147","1.6300702834346354","1.5282106371609503","1.646659771786429","1.6412165248720074","1.2147642642360779","1.3730843153855687","1.384323578857841","1.4595308024413487","1.6466364249418612","1.730141778292277","1.7529024741279258","1.6866226561208868","1.7984613513730439","1.888410072252838","1.953918903173936","1.9636766831255488","1.8922082172766188","1.99452621654601",""
"INTL.47-34-ATA-TBTUUSDPP.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.47-34-ATG-TBTUUSDPP.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","5.370809893073509","5.089183469200096","5.1228938136764315","4.99622144561209","4.952227156831808","4.691280156726954","4.707914817923029","5.248149885580871","4.936219640588287","4.809906966934136","4.59261833499652","4.4284516190295315","4.3449739693855625","4.552001529968654","4.830428940536527","4.78630323407727","4.693571658393336","4.475597455215308","4.092685070494956","3.9235968846069835","4.0142834676758765","4.777356670308643","5.0122061296334595","5.097956608247044","5.0680472303385695","5.099172908915241","5.023000678305122","4.9519948712446356","4.7643930877055","4.392494108313992","4.225829691985502",""
"INTL.47-34-ARG-TBTUUSDPP.A","        Argentina","3.667446641944445","3.7752287901205475","4.092118671622179","3.983521951999697","4.188794764406945","4.308722973381812","4.314361387283105","4.313425989505348","4.420293388219056","4.698733512153151","4.64664887539146","4.395312112028611","4.1619230358665185","4.2909806919457045","4.09727726805653","4.350883451883517","4.275472866425555","4.065645539476395","4.089849120311964","4.2152487574225335","4.597307492702188","4.720157013962961","4.984898549132298","4.966258956612131","5.098551127636769","4.922116113061707","4.847270424172843","4.522797471189099","4.519255639966845","4.698488906769865","4.412642687680754","4.250881983546056","4.386190553092552","4.344308763258299","4.470010183153295","4.414638110985358","4.510288079719256","4.193035462827069","4.205702112189425",""
