Report generated on: 11-03-2021 14:27:40
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-WORL-BDOLPPP.A","    World","27664.626656","28555.776576","28691.440318","29507.745247","30984.595166","32173.747011","33305.420783","34667.204265","42027.740482","43995.2446499","49149.858287","50102.655565","50961.389059","52053.19595","53590.149338","55326.88963","57473.184642","59773.274174","61204.605368","63298.305762","66336.495448","67870.033979","69747.669632","72294.823726","75970.999496","79499.365508","83631.415599","87992.385512","90539.378321","89916.875732","94527.138419","98279.307093","101442.848149","104769.4427","108308.224722","111833.740018","115469.106122","119754.82545","124057.894403","127587.233228","123400.316283"
"INTL.4701-34-AFG-BDOLPPP.A","        Afghanistan","NA","NA","NA","NA","NA","NA","NA","NA","37.7013","34.9313","33.5173","30.4497","30.0136","24.2715","18.6874","24.393","25.2627","23.9564","22.8357","21.744","20.5799","19.4201","28.8519","33.4125","34.3682","36.9487","40.1128","49.1955","48.6518","53.9395","56.7712","60.6103","66.4914","70.9136","73.0931","72.056","73.2453","75.1899","76.3784","79.4546","77.852"
"INTL.4701-34-ALB-BDOLPPP.A","        Albania","NA","NA","NA","NA","NA","NA","NA","NA","15.6878","17.2309","15.5809","11.2179","10.4103","11.4097","12.3567","14.0002","15.2744","13.619","14.8459","16.8503","17.9666","19.3931","20.2137","21.374","22.5866","23.8874","25.1848","26.672","28.6821","29.6441","30.743","31.5255","31.9724","32.2928","32.8658","33.595","34.7086","36.0283","37.4951","38.3101","37.0416"
"INTL.4701-34-DZA-BDOLPPP.A","        Algeria","NA","NA","NA","NA","NA","NA","NA","NA","219.921","229.598","231.434","228.657","232.773","227.885","225.834","234.415","244.026","246.711","259.293","267.59","277.759","286.092","302.113","323.865","337.791","357.721","363.802","376.171","385.199","391.363","405.452","417.21","431.395","443.474","460.326","477.358","492.633","499.038","506.024","510.072","474.136"
"INTL.4701-34-ASM-BDOLPPP.A","        American Samoa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.514","0.527","0.512","0.503","0.496","0.52","0.563","0.678","0.576","0.574","0.644","0.641","0.642","0.661","0.652","0.602","0.636","NA","NA"
"INTL.4701-34-AGO-BDOLPPP.A","        Angola","NA","NA","NA","NA","NA","NA","NA","NA","64.7743","64.8013","62.5656","63.1859","59.4969","45.2275","45.8333","52.7082","59.8472","64.2007","67.2124","68.6787","70.7766","73.7534","83.8323","86.3388","95.7954","110.192","122.917","140.138","155.786","157.123","164.043","169.739","184.238","193.366","202.691","204.604","199.325","199.032","195.044","193.826","185.994"
"INTL.4701-34-ATA-BDOLPPP.A","        Antarctica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-ATG-BDOLPPP.A","        Antigua and Barbuda","NA","NA","NA","NA","NA","NA","NA","NA","1.07457","1.13101","1.16507","1.19043","1.20422","1.26781","1.35245","1.29349","1.37892","1.45437","1.52318","1.57965","1.67764","1.60134","1.6178","1.7161","1.81507","1.93258","2.17817","2.38108","2.38073","2.09593","1.9316","1.89377","1.95764","1.94588","2.01974","2.097","2.21229","2.28188","2.45049","2.53282","2.01928"
"INTL.4701-34-ARG-BDOLPPP.A","        Argentina","453.819","430.09","416.506","433.632","442.301","411.5603","440.9364","452.362","443.792","413.0077","405.4487","448.3389","491.409","514.864","544.914","529.409","558.667","603.981","627.236","606.002","601.221","574.714","512.102","557.356","583.43","635.073","686.179","747.987","778.335","732.269","806.414","854.831","846.057","866.407","844.638","867.707","849.655","873.602","850.736","833.501","751.024"
