Report generated on: 11-03-2021 14:14:26
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-WORL-MMTCD.A","    World","2206.690829","2382.046176","2526.687327","2473.373964","2536.892888","2422.25256","2684.786146","2777.042758","2756.562392","2703.188545","2807.171174","2914.008533","2942.790633","3064.923181","3184.516899","3316.753148","3461.741169","3654.178703","3749.381715","3964.523069","4134.686706","4261.307787","4311.927159","4532.007774","4721.984594","4561.227063","4426.421477","4694.157203","4835.524743","4883.910187","4946.62713","18671.570671825","18291.357144996","18248.610181439","18440.535583348","20078.685132775","20490.522147117","21026.871979897","21701.294338052","22417.896834324","22750.990846161","22801.036971571","22704.605192108","22529.424264474","22641.473372005","22884.635762895","23417.982119043","23911.833722735","24046.679111427","24086.631441574","24451.994335611","25195.886407173","25374.039556655","25949.29684716","27126.835455298","28588.074138839","29700.056069165","30649.836039544","31143.797473732","31814.50961415","31612.744309099","33652.592479254","34786.404146646","35607.551209648","36013.90150834","36046.193725407","35855.855036627","35278.502255627","36072.334793908","36903.369935787","--"
"INTL.4008-8-AFG-MMTCD.A","        Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.325964518","1.509627735","1.65960468","2.05960468","2.065436114","2.093515917","2.311010238","3.646724197","6.056769431","6.024286809","5.92606127","2.693772146","1.704078481","1.60213467","1.599940882","1.301904405","1.357036213","1.255092401","1.255092401","1.25314859","1.15314859","0.848627166","0.838908091","0.707268691","0.705324879","0.80338105","0.707268691","1.160454789","1.472591437","6.230759779","7.794436305","11.097938929","9.753422695","7.910700222","7.169380063","7.852509211","7.279395964","7.886124149","8.274967139","--"
"INTL.4008-8-ALB-MMTCD.A","        Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.618526399","9.533068754","9.594264089","9.981384922","10.126808525","10.0889756","10.154939541","9.828091766","9.947020892","9.31315936","6.830770197","4.756772992","3.901890471","2.890835751","2.328549426","2.463787517","2.019993742","1.958145439","2.331577807","2.926686734","3.264883293","3.579187341","3.750333192","4.25058022","4.345900091","4.637862111","4.612172485","3.173024237","4.525973878","3.02339894","3.673558222","3.756730087","3.393630544","3.857129766","4.043419507","3.913785734","4.105771205","4.483725681","4.031246029","--"
"INTL.4008-8-DZA-MMTCD.A","        Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.663590904","39.376193382","56.531989464","63.168954306","66.766862302","61.757201027","60.918466391","64.343004942","68.905407218","66.690494969","69.771552386","76.419208682","74.390488044","68.124087913","70.374999308","72.736848793","71.012657374","67.107992316","70.732529323","70.688902551","70.059526819","70.833440803","72.178921283","72.47891745","71.878509389","82.857278684","86.028784805","87.289444714","56.222555406","99.380185852","101.352896736","112.488751213","122.016837732","118.720563943","131.695938497","138.622437629","137.190705524","137.678348102","145.987969135","--"
"INTL.4008-8-ASM-MMTCD.A","        American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.425070708","0.499607404","0.696422442","0.439048931","0.500976192","0.469328168","0.484467786","0.503031549","0.488869517","0.548365307","0.577441663","0.577441663","0.594548215","0.578368968","0.562878486","0.547388003","0.548879294","0.562878486","0.562878486","0.562878562","0.550420816","0.550420816","0.559929816","0.559929816","0.559929816","0.59155027","0.601936254","0.601936254","0.603585394","0.601936254","0.601936254","0.35542766","0.356401475","0.35542766","0.35542766","0.35542766","0.355427692","0.35542766","0.35542766","--"
"INTL.4008-8-AGO-MMTCD.A","        Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.390313036","3.388842904","3.5555033","3.86660396","3.36660396","4.32215429","4.57770462","4.68880528","4.89990594","4.73325495","4.855407096","5.0110066","5.218203145","5.098585546","4.919904059","5.298585546","5.098585546","5.718203145","4.837820744","5.698585546","5.418203145","7.339732749","7.81629114","8.275143938","8.571319928","8.475143938","9.433996735","10.42826072","10.833996735","12.353614334","16.434704769","17.299774448","18.379759527","20.113909041","21.743562538","22.910923406","23.869364703","21.271889135","21.203160606","--"
"INTL.4008-8-ATA-MMTCD.A","        Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14064","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.3","0.2","0.2","0.014352207","0.014382064","0.01434261","0.014342885","0.014228501","0.01422098","0.013782287","0.013782287","--"
"INTL.4008-8-ATG-MMTCD.A","        Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.40738","0.4","0.5","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.690569119","0.7","0.7","0.7","0.690076094","0.707217069","0.705863443","0.719317413","0.751413","0.762758","0.7159054","0.7348894","--"
"INTL.4008-8-ARG-MMTCD.A","        Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.02991395","90.736786366","93.950122066","94.251595681","98.3154848","92.07706013","104.423396088","105.510430365","108.456624636","107.366089785","99.378868848","104.194766287","105.550799495","115.861464739","112.113003975","115.12491699","123.061078645","125.789623885","133.648446173","139.373299261","137.719422129","127.29822538","119.221962694","133.003494925","140.36175665","151.993641709","156.319849034","157.872228733","169.176780166","168.427120196","186.427005161","190.293575528","195.564808595","196.689236739","197.325871069","214.14898796","214.123012963","195.140106755","191.365794205","--"
"INTL.4008-8-ARM-MMTCD.A","        Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","11.100206809","6.866926082","6.02829579","7.089674037","8.071509648","7.479557823","7.864828592","7.743406613","8.372155215","8.551151861","8.242803401","8.796330443","9.013094019","10.236721093","10.237780075","11.155403577","11.092445857","10.041619888","4.813019398","5.238929565","5.991110422","5.808716504","5.983706514","5.026330456","5.388280856","5.764256766","5.976457104","--"
"INTL.4008-8-ABW-MMTCD.A","        Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","0.1","0.1","0.4","0.6","0.6","0.6","0.7","0.7","0.8","0.9","0.6","0.9","0.9","0.9","1","1","1","1","1","1","1.1","1.024105112","1.1","1","1.1","0.991091715","1.259022487","1.19798201","1.213408516","1.221647","1.201636","1.251577","1.20493081","--"
"INTL.4008-8-AUS-MMTCD.A","        Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216.00700957","217.874016367","228.17493625","219.685735777","232.794197323","247.544352823","247.642783208","268.653361853","271.194205607","290.048358861","296.659900777","294.44520422","299.664503665","299.577394557","305.693741638","317.531322299","331.325707139","337.929590869","358.090550417","366.877630603","364.262539777","369.492516734","380.355699634","375.19100108","385.507415605","395.815243917","402.356201174","417.660725367","413.061050769","426.902882233","409.516504407","407.600252222","410.731311439","401.943110237","394.318503715","401.992362476","406.09649751","412.269370552","400.936783872","406.901815425"
"INTL.4008-8-AUT-MMTCD.A","        Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.330518615","51.663828233","48.922440236","48.648406359","53.295743548","54.237600163","51.525489848","52.526583122","50.740272368","51.476408948","60.07248464","64.730549286","59.614582494","60.197875062","60.488516403","63.515073418","68.808431274","68.847105525","68.384183305","67.703889962","66.576791989","71.592621183","72.396181717","77.506122975","79.497096117","81.385879029","80.014645419","77.400560193","76.275769269","69.529473686","75.518099134","71.968446057","70.520653345","70.849430636","67.495276713","69.162716534","69.715994102","71.483763819","70.108631629","72.20243568"
"INTL.4008-8-AZE-MMTCD.A","        Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","58.097629015","50.589072783","46.442846564","45.670271009","39.249112926","37.977024836","34.976128051","35.781064726","31.114681472","31.18865281","34.481329673","33.849421767","36.380106573","37.238314371","40.058521116","31.148464861","34.526307355","29.161805959","30.978079619","30.139640857","33.216129133","31.49000261","32.525526008","34.220003413","33.768208834","33.505086202","33.285637886","--"
"INTL.4008-8-BHR-MMTCD.A","        Bahrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.759153","8.8660396","9.3215429","9.8770462","9.58819389","11.41025412","12.1990594","14.75442161","12.61016006","13.03236138","14.287882779","15.94322689","13.536562689","15.986850564","15.831580133","15.931580133","15.888762569","18.435226434","19.462989604","20.298400792","20.312282377","20.759663145","21.858248691","22.472130276","23.127159064","25.310448571","27.826739712","28.546264819","30.545440408","30.882763601","31.351673973","32.885320596","34.991926707","38.720921492","38.511888511","38.815487511","39.162568161","38.934433631","39.014442502","--"
"INTL.4008-8-BGD-MMTCD.A","        Bangladesh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.109008877","7.767382032","8.22785389","7.806462606","9.286679298","9.698133293","10.962214732","11.773808507","12.935328606","14.045591296","13.660338654","14.490779858","16.433321887","17.827564971","19.798063865","21.936817658","22.708188019","23.389948115","25.187677976","28.447993477","29.864597914","32.905114673","35.498300094","38.331624109","40.511875875","42.752618056","46.899409122","47.928919478","53.270543649","57.685283613","56.107957825","59.726431409","64.239569972","65.438468841","68.872293587","77.143612213","81.190221668","84.268641057","90.78163083","--"
"INTL.4008-8-BRB-MMTCD.A","        Barbados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.970850132","1.022220132","1.022220132","1.122220132","1.022220132","1.122220132","1.322220132","1.222220132","1.149995297","1.25555033","1.266699837","1.364738077","1.394164475","1.392202715","1.290240956","1.392202715","1.088279196","1.484355676","1.472585116","1.592202715","1.674374634","1.662776317","1.656891037","1.656891037","1.158852797","1.551695148","1.45270089","1.409851156","1.43339064","1.532032888","1.431680878","1.926933182","1.810688761","1.852327062","1.609840058","1.711547679","1.73882031","1.593928257","1.702104465","--"
"INTL.4008-8-BLR-MMTCD.A","        Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","89.291083853","79.727988576","65.914730418","61.573934447","59.950772362","58.911641256","56.655841976","57.936241222","59.290466085","53.852183737","50.706951773","55.735321094","54.748940768","64.142207248","66.311826977","59.547752099","66.696796007","60.854088909","64.13182001","66.50656537","65.141478209","62.115026688","62.454652366","53.136445197","52.840516035","52.856197671","56.487497345","--"
"INTL.4008-8-BEL-MMTCD.A","        Belgium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139.878279907","123.414264898","116.552379275","106.532566622","124.717363084","123.16521141","126.60572884","128.772479887","132.647903562","134.519128235","136.658355449","141.68143252","139.797849598","137.338296517","154.293422422","155.978629299","164.311399006","161.140965718","166.443653258","162.385008994","168.606191863","166.344267588","164.813542445","169.611217346","171.390271547","169.830113418","164.963898759","164.658459133","173.842220205","157.223442789","169.824573731","154.099250139","152.084087615","157.550054398","151.376987364","155.552449023","158.375531986","158.9907007","164.566619901","159.807472727"
"INTL.4008-8-BLZ-MMTCD.A","        Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2255","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.7","0.9","0.8","0.8","0.9","1","1","1.073313812","1","0.5","0.5","0.423049876","0.476432412","0.516362349","0.505700203","0.597846","0.591488","0.676589459","0.577712955","--"
"INTL.4008-8-BEN-MMTCD.A","        Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42067","0.4","0.3","0.4","0.4","0.5","0.5","0.4","0.5","0.5","0.6","0.7","0.8","0.8","0.9","1","1","1.1","1.2","1.3","1.7","1.7","1.7","2.1","2.4","2.5","3","3.303225783","3.403617675","4.500232667","5.100114705","4.722990331","4.372044823","4.538610429","4.840767399","5.375044116","6.605891585","6.976974384","6.947637191","--"
"INTL.4008-8-BMU-MMTCD.A","        Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5307","0.5","0.5","0.5","0.5","0.5","0.5","0.7","0.8","0.9","0.7","0.5","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.768531146","0.8","0.7","0.7","0.527135539","0.559253927","0.580391832","0.747555419","0.638996","0.813297","0.775416033","0.797279806","--"
"INTL.4008-8-BTN-MMTCD.A","        Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004403549","0.02495527","0.03135369","0.028700977","0.026028984","0.033157467","0.031679351","0.061041146","0.061727208","0.064717611","0.114148015","0.116088418","0.122191085","0.12412262","0.16544473","0.176947714","0.177733456","0.178519197","0.180241275","0.198763745","0.217286214","0.220313797","0.330248803","0.321628372","0.344729434","0.364410679","0.367068536","0.338869663","0.366884005","0.458871633","0.492486226","0.540145378","0.583256167","0.610481699","0.589683437","0.625257036","0.736112404","0.870389428","0.895528305","--"
"INTL.4008-8-BOL-MMTCD.A","        Bolivia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.13884618","4.63953927","4.03668","4.09585","4.042793333","3.583623333","3.642793333","3.442793333","3.908076667","4.579473333","4.8917","4.779473333","5.197813333","4.992891168","5.755007116","6.787921242","6.455985558","7.123834197","6.703551915","8.0622599","8.767200111","7.705578224","8.897322846","11.186008921","11.39020046","11.231409602","12.499241282","11.087513081","13.721463632","12.741271491","13.325875656","13.247764437","15.484720188","15.806032418","16.1814403","15.937316567","17.25413277","18.092137786","18.335565837","--"
